postseason,league,metro,rounds_won,appeared_in_championship,won_championship
1914,MLB,Boston,1,true,true
1948,MLB,Boston,0,true,false
1957,MLB,Milwaukee,1,true,true
1958,MLB,Milwaukee,0,true,false
1969,MLB,Atlanta,0,false,false
1982,MLB,Atlanta,0,false,false
1991,MLB,Atlanta,1,true,false
1992,MLB,Atlanta,1,true,false
1993,MLB,Atlanta,0,false,false
1995,MLB,Atlanta,1,true,true
1996,MLB,Atlanta,2,true,false
1997,MLB,Atlanta,1,false,false
1998,MLB,Atlanta,1,false,false
1999,MLB,Atlanta,2,true,false
2000,MLB,Atlanta,0,false,false
2001,MLB,Atlanta,1,false,false
2002,MLB,Atlanta,0,false,false
2003,MLB,Atlanta,0,false,false
2004,MLB,Atlanta,0,false,false
2005,MLB,Atlanta,0,false,false
2010,MLB,Atlanta,0,false,false
2012,MLB,Atlanta,0,false,false
2013,MLB,Atlanta,0,false,false
2018,MLB,Atlanta,0,false,false
2019,MLB,Atlanta,0,false,false
2020,MLB,Atlanta,2,false,false
2021,MLB,Atlanta,3,true,true
2022,MLB,Atlanta,0,false,false
