season,metro,team_name,league,conference,division,league_position,conference_position,division_position
1998,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST
1999,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST
2000,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2001,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST
2002,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST
2003,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2004,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,LAST,LAST,LAST
2005,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2006,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2007,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,FIRST,FIRST
2008,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2009,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST
2010,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST
2011,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,FIRST
2012,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2013,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2014,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,LAST,LAST
2015,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2016,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2017,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2018,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2019,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
2020,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,LAST
2021,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,LAST_TIED,LAST,LAST
2022,Phoenix,Arizona Diamondbacks,MLB,NL,NL West,,,
