season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1904,Chicago,Chicago Cubs,MLB,NL,,,,,,,,
1905,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1906,Chicago,Chicago Cubs,MLB,NL,,FIRST,FIRST,,true,0,true,false
1907,Chicago,Chicago Cubs,MLB,NL,,FIRST,FIRST,,true,1,true,true
1908,Chicago,Chicago Cubs,MLB,NL,,FIRST,FIRST,,true,1,true,true
1909,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1910,Chicago,Chicago Cubs,MLB,NL,,,FIRST,,true,0,true,false
1911,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1912,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1913,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1914,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1915,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1916,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1917,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1918,Chicago,Chicago Cubs,MLB,NL,,FIRST,FIRST,,true,0,true,false
1919,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1920,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1921,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1922,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1923,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1924,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1925,Chicago,Chicago Cubs,MLB,NL,,,LAST,,false,,,
1926,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1927,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1928,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1929,Chicago,Chicago Cubs,MLB,NL,,,FIRST,,true,0,true,false
1930,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1931,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1932,Chicago,Chicago Cubs,MLB,NL,,,FIRST,,true,0,true,false
1933,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1934,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1935,Chicago,Chicago Cubs,MLB,NL,,FIRST,FIRST,,true,0,true,false
1936,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1937,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1938,Chicago,Chicago Cubs,MLB,NL,,,FIRST,,true,0,true,false
1939,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1940,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1941,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1942,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1943,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1944,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1945,Chicago,Chicago Cubs,MLB,NL,,FIRST,FIRST,,true,0,true,false
1946,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1947,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1948,Chicago,Chicago Cubs,MLB,NL,,,LAST,,false,,,
1949,Chicago,Chicago Cubs,MLB,NL,,,LAST,,false,,,
1950,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1951,Chicago,Chicago Cubs,MLB,NL,,,LAST,,false,,,
1952,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1953,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1954,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1955,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1956,Chicago,Chicago Cubs,MLB,NL,,,LAST,,false,,,
1957,Chicago,Chicago Cubs,MLB,NL,,,LAST,,false,,,
1958,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1959,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1960,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1961,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1962,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1963,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1964,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1965,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1966,Chicago,Chicago Cubs,MLB,NL,,LAST,LAST,,false,,,
1967,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1968,Chicago,Chicago Cubs,MLB,NL,,,,,false,,,
1969,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1970,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1971,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1972,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1973,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1974,Chicago,Chicago Cubs,MLB,NL,NL East,,,LAST,false,,,
1975,Chicago,Chicago Cubs,MLB,NL,NL East,,,LAST_TIED,false,,,
1976,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1977,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1978,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
1979,Chicago,Chicago Cubs,MLB,NL,NL East,,,,false,,,
