season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Chicago,Chicago White Stockings,MLB,AL,,,,,false,,,
1904,Chicago,Chicago White Sox,MLB,AL,,,,,,,,
1905,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1906,Chicago,Chicago White Sox,MLB,AL,,,FIRST,,true,1,true,true
1907,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1908,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1909,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1910,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1911,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1912,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1913,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1914,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1915,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1916,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1917,Chicago,Chicago White Sox,MLB,AL,,FIRST,FIRST,,true,1,true,true
1918,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1919,Chicago,Chicago White Sox,MLB,AL,,,FIRST,,true,0,true,false
1920,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1921,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1922,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1923,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1924,Chicago,Chicago White Sox,MLB,AL,,,LAST,,false,,,
1925,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1926,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1927,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1928,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1929,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1930,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1931,Chicago,Chicago White Sox,MLB,AL,,LAST,LAST,,false,,,
1932,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1933,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1934,Chicago,Chicago White Sox,MLB,AL,,,LAST,,false,,,
1935,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1936,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1937,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1938,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1939,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1940,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1941,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1942,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1943,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1944,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1945,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1946,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
1947,Chicago,Chicago White Sox,MLB,AL,,,,,false,,,
