season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1993,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
1994,Denver,Colorado Rockies,MLB,NL,NL West,,,,,,,
1995,Denver,Colorado Rockies,MLB,NL,NL West,,,,true,0,false,false
1996,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
1997,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
1998,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
1999,Denver,Colorado Rockies,MLB,NL,NL West,,,LAST,false,,,
2000,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2001,Denver,Colorado Rockies,MLB,NL,NL West,,,LAST,false,,,
2002,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2003,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2004,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2005,Denver,Colorado Rockies,MLB,NL,NL West,,LAST_TIED,LAST,false,,,
2006,Denver,Colorado Rockies,MLB,NL,NL West,,,LAST,false,,,
2007,Denver,Colorado Rockies,MLB,NL,NL West,,,,true,2,true,false
2008,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2009,Denver,Colorado Rockies,MLB,NL,NL West,,,,true,0,false,false
2010,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2011,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2012,Denver,Colorado Rockies,MLB,NL,NL West,,,LAST,false,,,
2013,Denver,Colorado Rockies,MLB,NL,NL West,,,LAST,false,,,
2014,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2015,Denver,Colorado Rockies,MLB,NL,NL West,,,LAST,false,,,
2016,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2017,Denver,Colorado Rockies,MLB,NL,NL West,,,,true,0,false,false
2018,Denver,Colorado Rockies,MLB,NL,NL West,,,,true,1,false,false
2019,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2020,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2021,Denver,Colorado Rockies,MLB,NL,NL West,,,,false,,,
2022,Denver,Colorado Rockies,MLB,NL,NL West,,,LAST,false,,,
