season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1904,Detroit,Detroit Tigers,MLB,AL,,,,,,,,
1905,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1906,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1907,Detroit,Detroit Tigers,MLB,AL,,,FIRST,,true,0,true,false
1908,Detroit,Detroit Tigers,MLB,AL,,,FIRST,,true,0,true,false
1909,Detroit,Detroit Tigers,MLB,AL,,,FIRST,,true,0,true,false
1910,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1911,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1912,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1913,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1914,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1915,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1916,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1917,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1918,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1919,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1920,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1921,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1922,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1923,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1924,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1925,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1926,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1927,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1928,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1929,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1930,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1931,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1932,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1933,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1934,Detroit,Detroit Tigers,MLB,AL,,FIRST,FIRST,,true,0,true,false
1935,Detroit,Detroit Tigers,MLB,AL,,,FIRST,,true,1,true,true
1936,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
1937,Detroit,Detroit Tigers,MLB,AL,,,,,false,,,
