season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1969,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1970,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1971,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1972,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1973,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1974,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1975,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1976,Kansas City,Kansas City Royals,MLB,AL,AL West,,,FIRST,true,0,false,false
1977,Kansas City,Kansas City Royals,MLB,AL,AL West,FIRST,FIRST,FIRST,true,0,false,false
1978,Kansas City,Kansas City Royals,MLB,AL,AL West,,,FIRST,true,0,false,false
1979,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1980,Kansas City,Kansas City Royals,MLB,AL,AL West,,,FIRST,true,1,true,false
1981,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,true,0,false,false
1982,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1983,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1984,Kansas City,Kansas City Royals,MLB,AL,AL West,,,FIRST,true,0,false,false
1985,Kansas City,Kansas City Royals,MLB,AL,AL West,,,FIRST,true,2,true,true
1986,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1987,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1988,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1989,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1990,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1991,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1992,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1993,Kansas City,Kansas City Royals,MLB,AL,AL West,,,,false,,,
1994,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,,,,
1995,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
1996,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
1997,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
1998,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
1999,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2000,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2001,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
2002,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2003,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2004,Kansas City,Kansas City Royals,MLB,AL,AL Central,,LAST,LAST,false,,,
2005,Kansas City,Kansas City Royals,MLB,AL,AL Central,LAST,LAST,LAST,false,,,
2006,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
2007,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
2008,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2009,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
2010,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
2011,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2012,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2013,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2014,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,true,3,true,false
2015,Kansas City,Kansas City Royals,MLB,AL,AL Central,,FIRST,FIRST,true,3,true,true
2016,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2017,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2018,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
2019,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2020,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2021,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,,false,,,
2022,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
2023,Kansas City,Kansas City Royals,MLB,AL,AL Central,,,LAST,false,,,
