season,metro,team_name,league,conference,division,league_position,conference_position,division_position
1993,Miami,Florida Marlins,MLB,NL,NL East,,,
1994,Miami,Florida Marlins,MLB,NL,NL East,,,LAST
1995,Miami,Florida Marlins,MLB,NL,NL East,,,
1996,Miami,Florida Marlins,MLB,NL,NL East,,,
1997,Miami,Florida Marlins,MLB,NL,NL East,,,
1998,Miami,Florida Marlins,MLB,NL,NL East,LAST,LAST,LAST
1999,Miami,Florida Marlins,MLB,NL,NL East,,LAST,LAST
2000,Miami,Florida Marlins,MLB,NL,NL East,,,
2001,Miami,Florida Marlins,MLB,NL,NL East,,,
2002,Miami,Florida Marlins,MLB,NL,NL East,,,
2003,Miami,Florida Marlins,MLB,NL,NL East,,,
2004,Miami,Florida Marlins,MLB,NL,NL East,,,
2005,Miami,Florida Marlins,MLB,NL,NL East,,,
2006,Miami,Florida Marlins,MLB,NL,NL East,,,
2007,Miami,Florida Marlins,MLB,NL,NL East,,,LAST
2008,Miami,Florida Marlins,MLB,NL,NL East,,,
2009,Miami,Florida Marlins,MLB,NL,NL East,,,
2010,Miami,Florida Marlins,MLB,NL,NL East,,,
2011,Miami,Florida Marlins,MLB,NL,NL East,,,LAST
2012,Miami,Miami Marlins,MLB,NL,NL East,,,LAST
2013,Miami,Miami Marlins,MLB,NL,NL East,,LAST,LAST
2014,Miami,Miami Marlins,MLB,NL,NL East,,,
2015,Miami,Miami Marlins,MLB,NL,NL East,,,
2016,Miami,Miami Marlins,MLB,NL,NL East,,,
2017,Miami,Miami Marlins,MLB,NL,NL East,,,
2018,Miami,Miami Marlins,MLB,NL,NL East,,LAST,LAST
2019,Miami,Miami Marlins,MLB,NL,NL East,,LAST,LAST
2020,Miami,Miami Marlins,MLB,NL,NL East,,,
2021,Miami,Miami Marlins,MLB,NL,NL East,,,
2022,Miami,Miami Marlins,MLB,NL,NL East,,,
