season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Washington,Washington Senators,MLB,AL,,LAST_TIED,LAST,,false,,,
1904,Washington,Washington Senators,MLB,AL,,LAST,LAST,,,,,
1905,Washington,Washington Senators,MLB,AL,,,,,false,,,
1906,Washington,Washington Senators,MLB,AL,,,,,false,,,
1907,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1908,Washington,Washington Senators,MLB,AL,,,,,false,,,
1909,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1910,Washington,Washington Senators,MLB,AL,,,,,false,,,
1911,Washington,Washington Senators,MLB,AL,,,,,false,,,
1912,Washington,Washington Senators,MLB,AL,,,,,false,,,
1913,Washington,Washington Senators,MLB,AL,,,,,false,,,
1914,Washington,Washington Senators,MLB,AL,,,,,false,,,
1915,Washington,Washington Senators,MLB,AL,,,,,false,,,
1916,Washington,Washington Senators,MLB,AL,,,,,false,,,
1917,Washington,Washington Senators,MLB,AL,,,,,false,,,
1918,Washington,Washington Senators,MLB,AL,,,,,false,,,
1919,Washington,Washington Senators,MLB,AL,,,,,false,,,
1920,Washington,Washington Senators,MLB,AL,,,,,false,,,
1921,Washington,Washington Senators,MLB,AL,,,,,false,,,
1922,Washington,Washington Senators,MLB,AL,,,,,false,,,
1923,Washington,Washington Senators,MLB,AL,,,,,false,,,
1924,Washington,Washington Senators,MLB,AL,,,FIRST,,true,1,true,true
1925,Washington,Washington Senators,MLB,AL,,FIRST,FIRST,,true,0,true,false
1926,Washington,Washington Senators,MLB,AL,,,,,false,,,
1927,Washington,Washington Senators,MLB,AL,,,,,false,,,
1928,Washington,Washington Senators,MLB,AL,,,,,false,,,
1929,Washington,Washington Senators,MLB,AL,,,,,false,,,
1930,Washington,Washington Senators,MLB,AL,,,,,false,,,
1931,Washington,Washington Senators,MLB,AL,,,,,false,,,
1932,Washington,Washington Senators,MLB,AL,,,,,false,,,
1933,Washington,Washington Senators,MLB,AL,,FIRST,FIRST,,true,0,true,false
1934,Washington,Washington Senators,MLB,AL,,,,,false,,,
1935,Washington,Washington Senators,MLB,AL,,,,,false,,,
1936,Washington,Washington Senators,MLB,AL,,,,,false,,,
1937,Washington,Washington Senators,MLB,AL,,,,,false,,,
1938,Washington,Washington Senators,MLB,AL,,,,,false,,,
1939,Washington,Washington Senators,MLB,AL,,,,,false,,,
1940,Washington,Washington Senators,MLB,AL,,,,,false,,,
1941,Washington,Washington Senators,MLB,AL,,,,,false,,,
1942,Washington,Washington Senators,MLB,AL,,,,,false,,,
1943,Washington,Washington Senators,MLB,AL,,,,,false,,,
1944,Washington,Washington Senators,MLB,AL,,,LAST,,false,,,
1945,Washington,Washington Senators,MLB,AL,,,,,false,,,
1946,Washington,Washington Senators,MLB,AL,,,,,false,,,
1947,Washington,Washington Senators,MLB,AL,,,,,false,,,
1948,Washington,Washington Senators,MLB,AL,,,,,false,,,
1949,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1950,Washington,Washington Senators,MLB,AL,,,,,false,,,
1951,Washington,Washington Senators,MLB,AL,,,,,false,,,
1952,Washington,Washington Senators,MLB,AL,,,,,false,,,
1953,Washington,Washington Senators,MLB,AL,,,,,false,,,
1954,Washington,Washington Senators,MLB,AL,,,,,false,,,
1955,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1956,Washington,Washington Senators,MLB,AL,,,,,false,,,
1957,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1958,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1959,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1960,Washington,Washington Senators,MLB,AL,,,,,false,,,
1961,Minneapolis,Minnesota Twins,MLB,AL,,,,,false,,,
1962,Minneapolis,Minnesota Twins,MLB,AL,,,,,false,,,
1963,Minneapolis,Minnesota Twins,MLB,AL,,,,,false,,,
1964,Minneapolis,Minnesota Twins,MLB,AL,,,,,false,,,
1965,Minneapolis,Minnesota Twins,MLB,AL,,FIRST,FIRST,,true,0,true,false
1966,Minneapolis,Minnesota Twins,MLB,AL,,,,,false,,,
1967,Minneapolis,Minnesota Twins,MLB,AL,,,,,false,,,
1968,Minneapolis,Minnesota Twins,MLB,AL,,,,,false,,,
1969,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,FIRST,true,0,false,false
1970,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,FIRST,true,0,false,false
1971,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1972,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1973,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1974,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1975,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1976,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1977,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1978,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1979,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1980,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1981,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,LAST,false,,,
1982,Minneapolis,Minnesota Twins,MLB,AL,AL West,LAST,LAST,LAST,false,,,
1983,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1984,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1985,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1986,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1987,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,FIRST,true,2,true,true
1988,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1989,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1990,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,LAST,false,,,
1991,Minneapolis,Minnesota Twins,MLB,AL,AL West,,FIRST,FIRST,true,2,true,true
1992,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1993,Minneapolis,Minnesota Twins,MLB,AL,AL West,,,,false,,,
1994,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,,,,
1995,Minneapolis,Minnesota Twins,MLB,AL,AL Central,LAST_TIED,LAST_TIED,LAST,false,,,
1996,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
1997,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
1998,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
1999,Minneapolis,Minnesota Twins,MLB,AL,AL Central,LAST,LAST,LAST,false,,,
2000,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,LAST,LAST,false,,,
2001,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2002,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,1,false,false
2003,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,0,false,false
2004,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,0,false,false
2005,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2006,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,0,false,false
2007,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2008,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2009,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,0,false,false
2010,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,0,false,false
2011,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,LAST,LAST,false,,,
2012,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,LAST,LAST,false,,,
2013,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2014,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,LAST,false,,,
2015,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2016,Minneapolis,Minnesota Twins,MLB,AL,AL Central,LAST,LAST,LAST,false,,,
2017,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,true,0,false,false
2018,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2019,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,0,false,false
2020,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,0,false,false
2021,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,LAST,false,,,
2022,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,,false,,,
2023,Minneapolis,Minnesota Twins,MLB,AL,AL Central,,,FIRST,true,1,false,false
