season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,New York,New York Highlanders,MLB,AL,,,,,false,,,
1904,New York,New York Highlanders,MLB,AL,,,,,,,,
1905,New York,New York Highlanders,MLB,AL,,,,,false,,,
1906,New York,New York Highlanders,MLB,AL,,,,,false,,,
1907,New York,New York Highlanders,MLB,AL,,,,,false,,,
1908,New York,New York Highlanders,MLB,AL,,,LAST,,false,,,
1909,New York,New York Highlanders,MLB,AL,,,,,false,,,
1910,New York,New York Highlanders,MLB,AL,,,,,false,,,
1911,New York,New York Highlanders,MLB,AL,,,,,false,,,
1912,New York,New York Highlanders,MLB,AL,,LAST,LAST,,false,,,
1913,New York,New York Yankees,MLB,AL,,,,,false,,,
1914,New York,New York Yankees,MLB,AL,,,,,false,,,
1915,New York,New York Yankees,MLB,AL,,,,,false,,,
1916,New York,New York Yankees,MLB,AL,,,,,false,,,
1917,New York,New York Yankees,MLB,AL,,,,,false,,,
1918,New York,New York Yankees,MLB,AL,,,,,false,,,
1919,New York,New York Yankees,MLB,AL,,,,,false,,,
1920,New York,New York Yankees,MLB,AL,,,,,false,,,
1921,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,0,true,false
1922,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,0,true,false
1923,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1924,New York,New York Yankees,MLB,AL,,,,,false,,,
1925,New York,New York Yankees,MLB,AL,,,,,false,,,
1926,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,0,true,false
1927,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1928,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1929,New York,New York Yankees,MLB,AL,,,,,false,,,
1930,New York,New York Yankees,MLB,AL,,,,,false,,,
1931,New York,New York Yankees,MLB,AL,,,,,false,,,
1932,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1933,New York,New York Yankees,MLB,AL,,,,,false,,,
1934,New York,New York Yankees,MLB,AL,,,,,false,,,
1935,New York,New York Yankees,MLB,AL,,,,,false,,,
1936,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1937,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1938,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1939,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1940,New York,New York Yankees,MLB,AL,,,,,false,,,
1941,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1942,New York,New York Yankees,MLB,AL,,,FIRST,,true,0,true,false
1943,New York,New York Yankees,MLB,AL,,,FIRST,,true,1,true,true
1944,New York,New York Yankees,MLB,AL,,,,,false,,,
1945,New York,New York Yankees,MLB,AL,,,,,false,,,
1946,New York,New York Yankees,MLB,AL,,,,,false,,,
1947,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1948,New York,New York Yankees,MLB,AL,,,,,false,,,
1949,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1950,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1951,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1952,New York,New York Yankees,MLB,AL,,,FIRST,,true,1,true,true
1953,New York,New York Yankees,MLB,AL,,,FIRST,,true,1,true,true
1954,New York,New York Yankees,MLB,AL,,,,,false,,,
1955,New York,New York Yankees,MLB,AL,,,FIRST,,true,0,true,false
1956,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1957,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,0,true,false
1958,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1959,New York,New York Yankees,MLB,AL,,,,,false,,,
1960,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,0,true,false
1961,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,1,true,true
1962,New York,New York Yankees,MLB,AL,,,FIRST,,true,1,true,true
1963,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,0,true,false
1964,New York,New York Yankees,MLB,AL,,FIRST,FIRST,,true,0,true,false
1965,New York,New York Yankees,MLB,AL,,,,,false,,,
1966,New York,New York Yankees,MLB,AL,,,LAST,,false,,,
1967,New York,New York Yankees,MLB,AL,,,,,false,,,
1968,New York,New York Yankees,MLB,AL,,,,,false,,,
1969,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1970,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1971,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1972,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1973,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1974,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1975,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1976,New York,New York Yankees,MLB,AL,AL East,,FIRST,FIRST,true,1,true,false
1977,New York,New York Yankees,MLB,AL,AL East,,,FIRST,true,2,true,true
1978,New York,New York Yankees,MLB,AL,AL East,FIRST,FIRST,FIRST,true,2,true,true
1979,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1980,New York,New York Yankees,MLB,AL,AL East,FIRST,FIRST,FIRST,true,0,false,false
1981,New York,New York Yankees,MLB,AL,AL East,,,,true,2,true,false
1982,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1983,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1984,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1985,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1986,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1987,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1988,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1989,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1990,New York,New York Yankees,MLB,AL,AL East,,LAST,LAST,false,,,
1991,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1992,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1993,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
1994,New York,New York Yankees,MLB,AL,AL East,,FIRST,,,,,
1995,New York,New York Yankees,MLB,AL,AL East,,,,true,0,false,false
1996,New York,New York Yankees,MLB,AL,AL East,,,FIRST,true,3,true,true
1997,New York,New York Yankees,MLB,AL,AL East,,,,true,1,false,false
1998,New York,New York Yankees,MLB,AL,AL East,FIRST,FIRST,FIRST,true,3,true,true
1999,New York,New York Yankees,MLB,AL,AL East,,FIRST,FIRST,true,3,true,true
2000,New York,New York Yankees,MLB,AL,AL East,,,FIRST,true,3,true,true
2001,New York,New York Yankees,MLB,AL,AL East,,,FIRST,true,2,true,false
2002,New York,New York Yankees,MLB,AL,AL East,FIRST,FIRST,FIRST,true,0,false,false
2003,New York,New York Yankees,MLB,AL,AL East,FIRST,FIRST,FIRST,true,2,true,false
2004,New York,New York Yankees,MLB,AL,AL East,,FIRST,FIRST,true,1,false,false
2005,New York,New York Yankees,MLB,AL,AL East,,,FIRST,true,0,false,false
2006,New York,New York Yankees,MLB,AL,AL East,,FIRST,FIRST,true,0,false,false
2007,New York,New York Yankees,MLB,AL,AL East,,,,true,0,false,false
2008,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
2009,New York,New York Yankees,MLB,AL,AL East,FIRST,FIRST,FIRST,true,3,true,true
2010,New York,New York Yankees,MLB,AL,AL East,,,,true,1,false,false
2011,New York,New York Yankees,MLB,AL,AL East,,FIRST,FIRST,true,0,false,false
2012,New York,New York Yankees,MLB,AL,AL East,,FIRST,FIRST,true,1,false,false
2013,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
2014,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
2015,New York,New York Yankees,MLB,AL,AL East,,,,true,0,false,false
2016,New York,New York Yankees,MLB,AL,AL East,,,,false,,,
2017,New York,New York Yankees,MLB,AL,AL East,,,,true,2,false,false
2018,New York,New York Yankees,MLB,AL,AL East,,,,true,1,false,false
2019,New York,New York Yankees,MLB,AL,AL East,,,FIRST,true,1,false,false
2020,New York,New York Yankees,MLB,AL,AL East,,,,true,1,false,false
2021,New York,New York Yankees,MLB,AL,AL East,,,,true,0,false,false
2022,New York,New York Yankees,MLB,AL,AL East,,,FIRST,true,1,false,false
