season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1904,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,,,,
1905,Philadelphia,Philadelphia Athletics,MLB,AL,,,FIRST,,true,0,true,false
1906,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1907,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1908,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1909,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1910,Philadelphia,Philadelphia Athletics,MLB,AL,,FIRST,FIRST,,true,1,true,true
1911,Philadelphia,Philadelphia Athletics,MLB,AL,,FIRST,FIRST,,true,1,true,true
1912,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1913,Philadelphia,Philadelphia Athletics,MLB,AL,,,FIRST,,true,1,true,true
1914,Philadelphia,Philadelphia Athletics,MLB,AL,,FIRST,FIRST,,true,0,true,false
1915,Philadelphia,Philadelphia Athletics,MLB,AL,,LAST,LAST,,false,,,
1916,Philadelphia,Philadelphia Athletics,MLB,AL,,LAST,LAST,,false,,,
1917,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1918,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1919,Philadelphia,Philadelphia Athletics,MLB,AL,,LAST,LAST,,false,,,
1920,Philadelphia,Philadelphia Athletics,MLB,AL,,LAST,LAST,,false,,,
1921,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1922,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1923,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1924,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1925,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1926,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1927,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1928,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1929,Philadelphia,Philadelphia Athletics,MLB,AL,,FIRST,FIRST,,true,1,true,true
1930,Philadelphia,Philadelphia Athletics,MLB,AL,,FIRST,FIRST,,true,1,true,true
1931,Philadelphia,Philadelphia Athletics,MLB,AL,,FIRST,FIRST,,true,0,true,false
1932,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1933,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1934,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1935,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1936,Philadelphia,Philadelphia Athletics,MLB,AL,,LAST,LAST,,false,,,
1937,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1938,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1939,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1940,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1941,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1942,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
1943,Philadelphia,Philadelphia Athletics,MLB,AL,,LAST,LAST,,false,,,
1944,Philadelphia,Philadelphia Athletics,MLB,AL,,,,,false,,,
1945,Philadelphia,Philadelphia Athletics,MLB,AL,,,LAST,,false,,,
