season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1904,Philadelphia,Philadelphia Phillies,MLB,NL,,,LAST,,,,,
1905,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1906,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1907,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1908,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1909,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1910,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1911,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1912,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1913,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1914,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1915,Philadelphia,Philadelphia Phillies,MLB,NL,,,FIRST,,true,0,true,false
1916,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1917,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1918,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1919,Philadelphia,Philadelphia Phillies,MLB,NL,,,LAST,,false,,,
1920,Philadelphia,Philadelphia Phillies,MLB,NL,,,LAST,,false,,,
1921,Philadelphia,Philadelphia Phillies,MLB,NL,,LAST,LAST,,false,,,
1922,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1923,Philadelphia,Philadelphia Phillies,MLB,NL,,LAST,LAST,,false,,,
1924,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1925,Philadelphia,Philadelphia Phillies,MLB,NL,,,,,false,,,
1926,Philadelphia,Philadelphia Phillies,MLB,NL,,,LAST,,false,,,
