season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,FIRST,,true,0,true,false
1904,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,,,,
1905,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1906,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1907,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1908,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1909,Pittsburgh,Pittsburgh Pirates,MLB,NL,,FIRST,FIRST,,true,1,true,true
1910,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1911,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1912,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1913,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1914,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1915,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1916,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1917,Pittsburgh,Pittsburgh Pirates,MLB,NL,,LAST,LAST,,false,,,
1918,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1919,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1920,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1921,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1922,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1923,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1924,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1925,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,FIRST,,true,1,true,true
1926,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1927,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,FIRST,,true,0,true,false
1928,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1929,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1930,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1931,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1932,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1933,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1934,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1935,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1936,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1937,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1938,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1939,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1940,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1941,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1942,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1943,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1944,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1945,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1946,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1947,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,LAST,,false,,,
1948,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1949,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1950,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,LAST,,false,,,
1951,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1952,Pittsburgh,Pittsburgh Pirates,MLB,NL,,LAST,LAST,,false,,,
1953,Pittsburgh,Pittsburgh Pirates,MLB,NL,,LAST,LAST,,false,,,
1954,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,LAST,,false,,,
1955,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,LAST,,false,,,
1956,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1957,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1958,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1959,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1960,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,FIRST,,true,1,true,true
1961,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1962,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1963,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1964,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1965,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1966,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
1967,Pittsburgh,Pittsburgh Pirates,MLB,NL,,,,,false,,,
