season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1903,St. Louis,St. Louis Cardinals,MLB,NL,,LAST_TIED,LAST,,false,,,
1904,St. Louis,St. Louis Cardinals,MLB,NL,,,,,,,,
1905,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1906,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1907,St. Louis,St. Louis Cardinals,MLB,NL,,,LAST,,false,,,
1908,St. Louis,St. Louis Cardinals,MLB,NL,,LAST,LAST,,false,,,
1909,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1910,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1911,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1912,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1913,St. Louis,St. Louis Cardinals,MLB,NL,,LAST,LAST,,false,,,
1914,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1915,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1916,St. Louis,St. Louis Cardinals,MLB,NL,,,LAST_TIED,,false,,,
1917,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1918,St. Louis,St. Louis Cardinals,MLB,NL,,LAST,LAST,,false,,,
1919,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1920,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1921,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1922,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1923,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1924,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1925,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1926,St. Louis,St. Louis Cardinals,MLB,NL,,,FIRST,,true,1,true,true
1927,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1928,St. Louis,St. Louis Cardinals,MLB,NL,,,FIRST,,true,0,true,false
1929,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1930,St. Louis,St. Louis Cardinals,MLB,NL,,,FIRST,,true,0,true,false
1931,St. Louis,St. Louis Cardinals,MLB,NL,,,FIRST,,true,1,true,true
1932,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1933,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1934,St. Louis,St. Louis Cardinals,MLB,NL,,,FIRST,,true,1,true,true
1935,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1936,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1937,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1938,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1939,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1940,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1941,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1942,St. Louis,St. Louis Cardinals,MLB,NL,,FIRST,FIRST,,true,1,true,true
1943,St. Louis,St. Louis Cardinals,MLB,NL,,FIRST,FIRST,,true,0,true,false
1944,St. Louis,St. Louis Cardinals,MLB,NL,,FIRST,FIRST,,true,1,true,true
1945,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1946,St. Louis,St. Louis Cardinals,MLB,NL,,,FIRST,,true,1,true,true
1947,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1948,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1949,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1950,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1951,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1952,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1953,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1954,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1955,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1956,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1957,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1958,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1959,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1960,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1961,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1962,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1963,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
1964,St. Louis,St. Louis Cardinals,MLB,NL,,,FIRST,,true,1,true,true
1965,St. Louis,St. Louis Cardinals,MLB,NL,,,,,false,,,
