season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1961,Washington,Washington Senators,MLB,AL,,,LAST,,false,,,
1962,Washington,Washington Senators,MLB,AL,,,LAST,,false,,,
1963,Washington,Washington Senators,MLB,AL,,,LAST,,false,,,
1964,Washington,Washington Senators,MLB,AL,,,,,false,,,
1965,Washington,Washington Senators,MLB,AL,,,,,false,,,
1966,Washington,Washington Senators,MLB,AL,,,,,false,,,
1967,Washington,Washington Senators,MLB,AL,,,,,false,,,
1968,Washington,Washington Senators,MLB,AL,,LAST,LAST,,false,,,
1969,Washington,Washington Senators,MLB,AL,AL East,,,,false,,,
1970,Washington,Washington Senators,MLB,AL,AL East,,,,false,,,
1971,Washington,Washington Senators,MLB,AL,AL East,,,,false,,,
1972,Dallas,Texas Rangers,MLB,AL,AL West,LAST,LAST,LAST,false,,,
1973,Dallas,Texas Rangers,MLB,AL,AL West,LAST,LAST,LAST,false,,,
1974,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1975,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1976,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1977,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1978,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1979,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1980,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1981,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1982,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1983,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1984,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
1985,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
1986,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1987,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1988,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1989,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1990,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1991,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1992,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1993,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1994,Dallas,Texas Rangers,MLB,AL,AL West,,,FIRST,,,,
1995,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1996,Dallas,Texas Rangers,MLB,AL,AL West,,,FIRST,true,0,false,false
1997,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
1998,Dallas,Texas Rangers,MLB,AL,AL West,,,FIRST,true,0,false,false
1999,Dallas,Texas Rangers,MLB,AL,AL West,,,FIRST,true,0,false,false
2000,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
2001,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
2002,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
2003,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
2004,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2005,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2006,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2007,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
2008,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2009,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2010,Dallas,Texas Rangers,MLB,AL,AL West,,,FIRST,true,2,true,false
2011,Dallas,Texas Rangers,MLB,AL,AL West,,,FIRST,true,2,true,false
2012,Dallas,Texas Rangers,MLB,AL,AL West,,,,true,0,false,false
2013,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2014,Dallas,Texas Rangers,MLB,AL,AL West,,LAST,LAST,false,,,
2015,Dallas,Texas Rangers,MLB,AL,AL West,,,FIRST,true,0,false,false
2016,Dallas,Texas Rangers,MLB,AL,AL West,,FIRST,FIRST,true,0,false,false
2017,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2018,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
2019,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
2020,Dallas,Texas Rangers,MLB,AL,AL West,,LAST,LAST,false,,,
2021,Dallas,Texas Rangers,MLB,AL,AL West,,,LAST,false,,,
2022,Dallas,Texas Rangers,MLB,AL,AL West,,,,false,,,
