season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1977,Toronto,Toronto Blue Jays,MLB,AL,AL East,LAST,LAST,LAST,false,,,
1978,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,LAST,false,,,
1979,Toronto,Toronto Blue Jays,MLB,AL,AL East,LAST,LAST,LAST,false,,,
1980,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,LAST,false,,,
1981,Toronto,Toronto Blue Jays,MLB,AL,AL East,LAST,LAST,LAST,false,,,
1982,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,LAST,false,,,
1983,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1984,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1985,Toronto,Toronto Blue Jays,MLB,AL,AL East,,FIRST,FIRST,true,0,false,false
1986,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1987,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1988,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1989,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,FIRST,true,0,false,false
1990,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1991,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,FIRST,true,0,false,false
1992,Toronto,Toronto Blue Jays,MLB,AL,AL East,,FIRST,FIRST,true,2,true,true
1993,Toronto,Toronto Blue Jays,MLB,AL,AL East,,FIRST,FIRST,true,2,true,true
1994,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,,,,
1995,Toronto,Toronto Blue Jays,MLB,AL,AL East,LAST_TIED,LAST_TIED,LAST,false,,,
1996,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1997,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,LAST,false,,,
1998,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
1999,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2000,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2001,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2002,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2003,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2004,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2005,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2006,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2007,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2008,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2009,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2010,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2011,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2012,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2013,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2014,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2015,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,FIRST,true,1,false,false
2016,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,true,2,false,false
2017,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2018,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2019,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2020,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,true,0,false,false
2021,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,false,,,
2022,Toronto,Toronto Blue Jays,MLB,AL,AL East,,,,true,0,false,false
