season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1969,Montreal,Montreal Expos,MLB,NL,NL East,LAST_TIED,LAST_TIED,LAST,false,,,
1970,Montreal,Montreal Expos,MLB,NL,NL East,,,LAST,false,,,
1971,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1972,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1973,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1974,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1975,Montreal,Montreal Expos,MLB,NL,NL East,,,LAST_TIED,false,,,
1976,Montreal,Montreal Expos,MLB,NL,NL East,LAST,LAST,LAST,false,,,
1977,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1978,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1979,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1980,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1981,Montreal,Montreal Expos,MLB,NL,NL East,,,,true,1,false,false
1982,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1983,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1984,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1985,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1986,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1987,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1988,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1989,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1990,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1991,Montreal,Montreal Expos,MLB,NL,NL East,,,LAST,false,,,
1992,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1993,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1994,Montreal,Montreal Expos,MLB,NL,NL East,FIRST,FIRST,FIRST,,,,
1995,Montreal,Montreal Expos,MLB,NL,NL East,,,LAST,false,,,
1996,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1997,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1998,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
1999,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
2000,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
2001,Montreal,Montreal Expos,MLB,NL,NL East,,,LAST,false,,,
2002,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
2003,Montreal,Montreal Expos,MLB,NL,NL East,,,,false,,,
2004,Montreal,Montreal Expos,MLB,NL,NL East,,,LAST,false,,,
2005,Washington,Washington Nationals,MLB,NL,NL East,,,LAST,false,,,
2006,Washington,Washington Nationals,MLB,NL,NL East,,,LAST,false,,,
2007,Washington,Washington Nationals,MLB,NL,NL East,,,,false,,,
2008,Washington,Washington Nationals,MLB,NL,NL East,LAST,LAST,LAST,false,,,
2009,Washington,Washington Nationals,MLB,NL,NL East,LAST,LAST,LAST,false,,,
2010,Washington,Washington Nationals,MLB,NL,NL East,,,LAST,false,,,
2011,Washington,Washington Nationals,MLB,NL,NL East,,,,false,,,
2012,Washington,Washington Nationals,MLB,NL,NL East,FIRST,FIRST,FIRST,true,0,false,false
2013,Washington,Washington Nationals,MLB,NL,NL East,,,,false,,,
2014,Washington,Washington Nationals,MLB,NL,NL East,,FIRST,FIRST,true,0,false,false
2015,Washington,Washington Nationals,MLB,NL,NL East,,,,false,,,
2016,Washington,Washington Nationals,MLB,NL,NL East,,,FIRST,true,0,false,false
2017,Washington,Washington Nationals,MLB,NL,NL East,,,FIRST,true,0,false,false
2018,Washington,Washington Nationals,MLB,NL,NL East,,,,false,,,
2019,Washington,Washington Nationals,MLB,NL,NL East,,,,true,4,true,true
2020,Washington,Washington Nationals,MLB,NL,NL East,,,LAST_TIED,false,,,
2021,Washington,Washington Nationals,MLB,NL,NL East,,,LAST,false,,,
2022,Washington,Washington Nationals,MLB,NL,NL East,LAST,LAST,LAST,false,,,
