name,year,league,number_of_rounds
1969 NBA Postseason,1969,NBA,3
1970 NBA Postseason,1970,NBA,3
1971 NBA Postseason,1971,NBA,3
1972 NBA Postseason,1972,NBA,3
1973 NBA Postseason,1973,NBA,3
1974 NBA Postseason,1974,NBA,3
1975 NBA Postseason,1975,NBA,4
1976 NBA Postseason,1976,NBA,4
1977 NBA Postseason,1977,NBA,4
1978 NBA Postseason,1978,NBA,4
1979 NBA Postseason,1979,NBA,4
1980 NBA Postseason,1980,NBA,4
1981 NBA Postseason,1981,NBA,4
1982 NBA Postseason,1982,NBA,4
1983 NBA Postseason,1983,NBA,4
1984 NBA Postseason,1984,NBA,4
1985 NBA Postseason,1985,NBA,4
1986 NBA Postseason,1986,NBA,4
1987 NBA Postseason,1987,NBA,4
1988 NBA Postseason,1988,NBA,4
1989 NBA Postseason,1989,NBA,4
1990 NBA Postseason,1990,NBA,4
1991 NBA Postseason,1991,NBA,4
1992 NBA Postseason,1992,NBA,4
1993 NBA Postseason,1993,NBA,4
1994 NBA Postseason,1994,NBA,4
1995 NBA Postseason,1995,NBA,4
1996 NBA Postseason,1996,NBA,4
1997 NBA Postseason,1997,NBA,4
1998 NBA Postseason,1998,NBA,4
1999 NBA Postseason,1999,NBA,4
2000 NBA Postseason,2000,NBA,4
2001 NBA Postseason,2001,NBA,4
2002 NBA Postseason,2002,NBA,4
2003 NBA Postseason,2003,NBA,4
2004 NBA Postseason,2004,NBA,4
2005 NBA Postseason,2005,NBA,4
2006 NBA Postseason,2006,NBA,4
2007 NBA Postseason,2007,NBA,4
2008 NBA Postseason,2008,NBA,4
2009 NBA Postseason,2009,NBA,4
2010 NBA Postseason,2010,NBA,4
2011 NBA Postseason,2011,NBA,4
2012 NBA Postseason,2012,NBA,4
2013 NBA Postseason,2013,NBA,4
2014 NBA Postseason,2014,NBA,4
2015 NBA Postseason,2015,NBA,4
2016 NBA Postseason,2016,NBA,4
2017 NBA Postseason,2017,NBA,4
2018 NBA Postseason,2018,NBA,4
2019 NBA Postseason,2019,NBA,4
2020 NBA Postseason,2020,NBA,4
2021 NBA Postseason,2021,NBA,4
2022 NBA Postseason,2022,NBA,4
2023 NBA Postseason,2023,NBA,4
