name,start_year,end_year,league,total_major_divisions,total_minor_divisions,postseason_rounds
1946-47 BAA Season,1946,1947,NBA,2,0,3
1947-48 BAA Season,1947,1948,NBA,2,0,3
1948-49 BAA Season,1948,1949,NBA,2,0,3
1949-50 NBA Season,1949,1950,NBA,3,0,4
1950-51 NBA Season,1950,1951,NBA,2,0,3
1951-52 NBA Season,1951,1952,NBA,2,0,3
1952-53 NBA Season,1952,1953,NBA,2,0,3
1953-54 NBA Season,1953,1954,NBA,2,0,3
1954-55 NBA Season,1954,1955,NBA,2,0,3
1955-56 NBA Season,1955,1956,NBA,2,0,3
1956-57 NBA Season,1956,1957,NBA,2,0,3
1957-58 NBA Season,1957,1958,NBA,2,0,3
1958-59 NBA Season,1958,1959,NBA,2,0,3
1959-60 NBA Season,1959,1960,NBA,2,0,3
1960-61 NBA Season,1960,1961,NBA,2,0,3
1961-62 NBA Season,1961,1962,NBA,2,0,3
1962-63 NBA Season,1962,1963,NBA,2,0,3
1963-64 NBA Season,1963,1964,NBA,2,0,3
1964-65 NBA Season,1964,1965,NBA,2,0,3
1965-66 NBA Season,1965,1966,NBA,2,0,3
1966-67 NBA Season,1966,1967,NBA,2,0,3
1967-68 NBA Season,1967,1968,NBA,2,0,3
1968-69 NBA Season,1968,1969,NBA,2,0,3
1969-70 NBA Season,1969,1970,NBA,2,0,3
1970-71 NBA Season,1970,1971,NBA,2,4,3
1971-72 NBA Season,1971,1972,NBA,2,4,3
1972-73 NBA Season,1972,1973,NBA,2,4,3
1973-74 NBA Season,1973,1974,NBA,2,4,3
1974-75 NBA Season,1974,1975,NBA,2,4,4
1975-76 NBA Season,1975,1976,NBA,2,4,4
1976-77 NBA Season,1976,1977,NBA,2,4,4
1977-78 NBA Season,1977,1978,NBA,2,4,4
1978-79 NBA Season,1978,1979,NBA,2,4,4
1979-80 NBA Season,1979,1980,NBA,2,4,4
1980-81 NBA Season,1980,1981,NBA,2,4,4
1981-82 NBA Season,1981,1982,NBA,2,4,4
1982-83 NBA Season,1982,1983,NBA,2,4,4
1983-84 NBA Season,1983,1984,NBA,2,4,4
1984-85 NBA Season,1984,1985,NBA,2,4,4
1985-86 NBA Season,1985,1986,NBA,2,4,4
1986-87 NBA Season,1986,1987,NBA,2,4,4
1987-88 NBA Season,1987,1988,NBA,2,4,4
1988-89 NBA Season,1988,1989,NBA,2,4,4
1989-90 NBA Season,1989,1990,NBA,2,4,4
1990-91 NBA Season,1990,1991,NBA,2,4,4
1991-92 NBA Season,1991,1992,NBA,2,4,4
1992-93 NBA Season,1992,1993,NBA,2,4,4
1993-94 NBA Season,1993,1994,NBA,2,4,4
1994-95 NBA Season,1994,1995,NBA,2,4,4
1995-96 NBA Season,1995,1996,NBA,2,4,4
1996-97 NBA Season,1996,1997,NBA,2,4,4
1997-98 NBA Season,1997,1998,NBA,2,4,4
1998-99 NBA Season,1998,1999,NBA,2,4,4
1999-00 NBA Season,1999,2000,NBA,2,4,4
2000-01 NBA Season,2000,2001,NBA,2,4,4
2001-02 NBA Season,2001,2002,NBA,2,4,4
2002-03 NBA Season,2002,2003,NBA,2,4,4
2003-04 NBA Season,2003,2004,NBA,2,4,4
2004-05 NBA Season,2004,2005,NBA,2,6,4
2005-06 NBA Season,2005,2006,NBA,2,6,4
2006-07 NBA Season,2006,2007,NBA,2,6,4
2007-08 NBA Season,2007,2008,NBA,2,6,4
2008-09 NBA Season,2008,2009,NBA,2,6,4
2009-10 NBA Season,2009,2010,NBA,2,6,4
2010-11 NBA Season,2010,2011,NBA,2,6,4
2011-12 NBA Season,2011,2012,NBA,2,6,4
2012-13 NBA Season,2012,2013,NBA,2,6,4
2013-14 NBA Season,2013,2014,NBA,2,6,4
2014-15 NBA Season,2014,2015,NBA,2,6,4
2015-16 NBA Season,2015,2016,NBA,2,6,4
2016-17 NBA Season,2016,2017,NBA,2,6,4
2017-18 NBA Season,2017,2018,NBA,2,6,4
2018-19 NBA Season,2018,2019,NBA,2,6,4
2019-20 NBA Season,2019,2020,NBA,2,6,4
2020-21 NBA Season,2020,2021,NBA,2,6,4
2021-22 NBA Season,2021,2022,NBA,2,6,4
2022-23 NBA Season,2022,2023,NBA,2,6,4
