postseason,league,metro,rounds_won,appeared_in_championship,won_championship
1970,NBA,Phoenix,0,false,false
1976,NBA,Phoenix,2,true,false
1978,NBA,Phoenix,0,false,false
1979,NBA,Phoenix,2,false,false
1980,NBA,Phoenix,1,false,false
1981,NBA,Phoenix,0,false,false
1982,NBA,Phoenix,1,false,false
1983,NBA,Phoenix,0,false,false
1984,NBA,Phoenix,2,false,false
1985,NBA,Phoenix,0,false,false
1989,NBA,Phoenix,2,false,false
1990,NBA,Phoenix,2,false,false
1991,NBA,Phoenix,0,false,false
1992,NBA,Phoenix,1,false,false
1993,NBA,Phoenix,3,true,false
1994,NBA,Phoenix,1,false,false
1995,NBA,Phoenix,1,false,false
1996,NBA,Phoenix,0,false,false
1997,NBA,Phoenix,0,false,false
1998,NBA,Phoenix,0,false,false
1999,NBA,Phoenix,0,false,false
2000,NBA,Phoenix,1,false,false
2001,NBA,Phoenix,0,false,false
2003,NBA,Phoenix,0,false,false
2005,NBA,Phoenix,2,false,false
2006,NBA,Phoenix,2,false,false
2007,NBA,Phoenix,1,false,false
2008,NBA,Phoenix,0,false,false
2010,NBA,Phoenix,2,false,false
2021,NBA,Phoenix,3,true,false
2022,NBA,Phoenix,1,false,false
2023,NBA,Phoenix,1,false,false
