season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1949,Tri-Cities,Tri-Cities Blackhawks,NBA,Western,,,,,true,0,false,false
1950,Tri-Cities,Tri-Cities Blackhawks,NBA,Western,,,LAST,,false,,,
1951,Milwaukee,Milwaukee Hawks,NBA,Western,,LAST,LAST,,false,,,
1952,Milwaukee,Milwaukee Hawks,NBA,Western,,,LAST,,false,,,
1953,Milwaukee,Milwaukee Hawks,NBA,Western,,,LAST,,false,,,
1954,Milwaukee,Milwaukee Hawks,NBA,Western,,LAST,LAST,,false,,,
1955,St. Louis,St. Louis Hawks,NBA,Western,,,,,true,1,false,false
1956,St. Louis,St. Louis Hawks,NBA,Western,,,FIRST,,true,1,false,false
1957,St. Louis,St. Louis Hawks,NBA,Western,,,FIRST,,true,2,false,false
1958,St. Louis,St. Louis Hawks,NBA,Western,,,FIRST,,true,0,false,false
1959,St. Louis,St. Louis Hawks,NBA,Western,,,FIRST,,true,1,false,false
1960,St. Louis,St. Louis Hawks,NBA,Western,,,FIRST,,true,1,false,false
1961,St. Louis,St. Louis Hawks,NBA,Western,,,,,true,,,
1962,St. Louis,St. Louis Hawks,NBA,Western,,,,,true,1,false,false
1963,St. Louis,St. Louis Hawks,NBA,Western,,,,,true,1,false,false
1964,St. Louis,St. Louis Hawks,NBA,Western,,,,,true,0,false,false
1965,St. Louis,St. Louis Hawks,NBA,Western,,,,,true,1,false,false
1966,St. Louis,St. Louis Hawks,NBA,Western,,,,,true,1,false,false
1967,St. Louis,St. Louis Hawks,NBA,Western,,,FIRST,,true,0,false,false
1968,Atlanta,Atlanta Hawks,NBA,Western,,,,,true,1,false,false
1969,Atlanta,Atlanta Hawks,NBA,Western,,,FIRST,,true,1,false,false
1970,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,0,false,false
1971,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,0,false,false
1972,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,0,false,false
1973,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,false,,,
1974,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,false,,,
1975,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,LAST,LAST,false,,,
1976,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,LAST,false,,,
1977,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,0,false,false
1978,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,1,false,false
1979,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,FIRST,true,0,false,false
1980,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,false,,,
1981,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,0,false,false
1982,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,0,false,false
1983,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,0,false,false
1984,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,false,,,
1985,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,1,false,false
1986,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,FIRST,true,1,false,false
1987,Atlanta,Atlanta Hawks,NBA,Eastern,Central,,,,true,1,false,false
