season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1976,New York,New York Nets,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
1977,New York,New Jersey Nets,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
1978,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1979,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,LAST,false,,,
1980,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,LAST,false,,,
1981,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1982,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1983,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,1,false,false
1984,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1985,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1986,New York,New Jersey Nets,NBA,Eastern,Atlantic,,LAST_TIED,LAST_TIED,false,,,
1987,New York,New Jersey Nets,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
1988,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
1989,New York,New Jersey Nets,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
1990,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
1991,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1992,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1993,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1994,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
1995,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
1996,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
1997,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
1998,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,LAST,false,,,
1999,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
2000,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
2001,New York,New Jersey Nets,NBA,Eastern,Atlantic,,FIRST,FIRST,true,3,true,false
2002,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,FIRST,true,3,true,false
2003,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,FIRST,true,1,false,false
2004,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
2005,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,FIRST,true,1,false,false
2006,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,true,1,false,false
2007,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
2008,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
2009,New York,New Jersey Nets,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
2010,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,,false,,,
2011,New York,New Jersey Nets,NBA,Eastern,Atlantic,,,LAST,false,,,
2012,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
2013,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,1,false,false
2014,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
2015,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,false,,,
2016,New York,Brooklyn Nets,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
2017,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,LAST,false,,,
2018,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
2019,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
2020,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,1,false,false
2021,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
2022,New York,Brooklyn Nets,NBA,Eastern,Atlantic,,,,true,0,false,false
