season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Chicago,Chicago Bulls,NBA,Western,,,,,true,0,false,false
1967,Chicago,Chicago Bulls,NBA,Western,,,,,true,0,false,false
1968,Chicago,Chicago Bulls,NBA,Western,,,,,false,,,
1969,Chicago,Chicago Bulls,NBA,Western,,,,,true,0,false,false
1970,Chicago,Chicago Bulls,NBA,Western,Midwest,,,,true,0,false,false
1971,Chicago,Chicago Bulls,NBA,Western,Midwest,,,,true,0,false,false
1972,Chicago,Chicago Bulls,NBA,Western,Midwest,,,,true,0,false,false
1973,Chicago,Chicago Bulls,NBA,Western,Midwest,,,,true,1,false,false
1974,Chicago,Chicago Bulls,NBA,Western,Midwest,,,FIRST,true,1,false,false
1975,Chicago,Chicago Bulls,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1976,Chicago,Chicago Bulls,NBA,Western,Midwest,,,,true,0,false,false
1977,Chicago,Chicago Bulls,NBA,Western,Midwest,,,,false,,,
1978,Chicago,Chicago Bulls,NBA,Western,Midwest,,LAST,LAST,false,,,
1979,Chicago,Chicago Bulls,NBA,Western,Midwest,,,,false,,,
1980,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,1,false,false
1981,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
1982,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
1983,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
1984,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
1985,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
1986,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
1987,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,1,false,false
1988,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,2,false,false
1989,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,2,false,false
1990,Chicago,Chicago Bulls,NBA,Eastern,Central,,FIRST,FIRST,true,4,true,true
1991,Chicago,Chicago Bulls,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,4,true,true
1992,Chicago,Chicago Bulls,NBA,Eastern,Central,,,FIRST,true,4,true,true
1993,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,1,false,false
1994,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,1,false,false
1995,Chicago,Chicago Bulls,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,4,true,true
1996,Chicago,Chicago Bulls,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,4,true,true
1997,Chicago,Chicago Bulls,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,4,true,true
1998,Chicago,Chicago Bulls,NBA,Eastern,Central,,LAST,LAST,false,,,
1999,Chicago,Chicago Bulls,NBA,Eastern,Central,,LAST,LAST,false,,,
2000,Chicago,Chicago Bulls,NBA,Eastern,Central,LAST,LAST,LAST,false,,,
2001,Chicago,Chicago Bulls,NBA,Eastern,Central,LAST,LAST,LAST,false,,,
2002,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
2003,Chicago,Chicago Bulls,NBA,Eastern,Central,,,LAST,false,,,
2004,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
2005,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
2006,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,1,false,false
2007,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
2008,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
2009,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
2010,Chicago,Chicago Bulls,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,2,false,false
2011,Chicago,Chicago Bulls,NBA,Eastern,Central,FIRST,FIRST,FIRST,true,0,false,false
2012,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,1,false,false
2013,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
2014,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,1,false,false
2015,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
2016,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
2017,Chicago,Chicago Bulls,NBA,Eastern,Central,,,LAST,false,,,
2018,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
2019,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
2020,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
2021,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,true,0,false,false
2022,Chicago,Chicago Bulls,NBA,Eastern,Central,,,,false,,,
