season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1980,Dallas,Dallas Mavericks,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1981,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1982,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1983,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,1,false,false
1984,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,0,false,false
1985,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,1,false,false
1986,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,FIRST,true,0,false,false
1987,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,2,false,false
1988,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1989,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,0,false,false
1990,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1991,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1992,Dallas,Dallas Mavericks,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1993,Dallas,Dallas Mavericks,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1994,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1995,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1996,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1997,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1998,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
1999,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,false,,,
2000,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,1,false,false
2001,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,1,false,false
2002,Dallas,Dallas Mavericks,NBA,Western,Midwest,FIRST,FIRST,FIRST,true,2,false,false
2003,Dallas,Dallas Mavericks,NBA,Western,Midwest,,,,true,0,false,false
2004,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,1,false,false
2005,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,3,true,false
2006,Dallas,Dallas Mavericks,NBA,Western,Southwest,FIRST,FIRST,FIRST,true,0,false,false
2007,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,0,false,false
2008,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,1,false,false
2009,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,FIRST,true,0,false,false
2010,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,4,true,true
2011,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,0,false,false
2012,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,false,,,
2013,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,0,false,false
2014,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,0,false,false
2015,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,0,false,false
2016,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,LAST,false,,,
2017,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,false,,,
2018,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,LAST,false,,,
2019,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,0,false,false
2020,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,FIRST,true,0,false,false
2021,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,true,2,false,false
2022,Dallas,Dallas Mavericks,NBA,Western,Southwest,,,,false,,,
