season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1970,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,,LAST,false,,,
1971,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
1972,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,,,false,,,
1973,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,,,true,0,false,false
1974,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,,,true,0,false,false
1975,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,,,true,1,false,false
1976,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,,,false,,,
1977,Buffalo,Buffalo Braves,NBA,Eastern,Atlantic,,,,false,,,
1978,San Diego,San Diego Clippers,NBA,Western,Pacific,,,,false,,,
1979,San Diego,San Diego Clippers,NBA,Western,Pacific,,,,false,,,
1980,San Diego,San Diego Clippers,NBA,Western,Pacific,,,,false,,,
1981,San Diego,San Diego Clippers,NBA,Western,Pacific,,LAST,LAST,false,,,
1982,San Diego,San Diego Clippers,NBA,Western,Pacific,,,LAST,false,,,
1983,San Diego,San Diego Clippers,NBA,Western,Pacific,,,LAST,false,,,
1984,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
1985,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
1986,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,LAST,LAST,LAST,false,,,
1987,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,LAST,LAST,LAST,false,,,
1988,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,LAST,false,,,
1989,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
1990,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
1991,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,0,false,false
1992,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,0,false,false
1993,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,LAST,false,,,
1994,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,LAST,LAST,LAST,false,,,
1995,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,LAST,false,,,
1996,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,0,false,false
1997,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,LAST,false,,,
1998,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,LAST,false,,,
1999,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,LAST,LAST,LAST,false,,,
2000,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2001,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2002,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,LAST,false,,,
2003,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,LAST,LAST,false,,,
2004,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2005,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,1,false,false
2006,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2007,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,LAST,false,,,
2008,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2009,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2010,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2011,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,1,false,false
2012,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,FIRST,true,0,false,false
2013,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,FIRST,true,1,false,false
2014,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,1,false,false
2015,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,0,false,false
2016,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,0,false,false
2017,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2018,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,0,false,false
2019,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,1,false,false
2020,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,2,false,false
2021,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,false,,,
2022,Los Angeles,Los Angeles Clippers,NBA,Western,Pacific,,,,true,0,false,false
