season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1995,Vancouver,Vancouver Grizzlies,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1996,Vancouver,Vancouver Grizzlies,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1997,Vancouver,Vancouver Grizzlies,NBA,Western,Midwest,,,,false,,,
1998,Vancouver,Vancouver Grizzlies,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1999,Vancouver,Vancouver Grizzlies,NBA,Western,Midwest,,,LAST,false,,,
2000,Vancouver,Vancouver Grizzlies,NBA,Western,Midwest,,,LAST,false,,,
2001,Memphis,Memphis Grizzlies,NBA,Western,Midwest,,,LAST,false,,,
2002,Memphis,Memphis Grizzlies,NBA,Western,Midwest,,,,false,,,
2003,Memphis,Memphis Grizzlies,NBA,Western,Midwest,,,,true,0,false,false
2004,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,0,false,false
2005,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,0,false,false
2006,Memphis,Memphis Grizzlies,NBA,Western,Southwest,LAST,LAST,LAST,false,,,
2007,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,LAST,false,,,
2008,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,LAST,false,,,
2009,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,false,,,
2010,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,1,false,false
2011,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,0,false,false
2012,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,2,false,false
2013,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,0,false,false
2014,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,1,false,false
2015,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,0,false,false
2016,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,true,0,false,false
2017,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,LAST,false,,,
2018,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,false,,,
2019,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,false,,,
2020,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,,false,0,false,false
2021,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,FIRST,false,1,false,false
2022,Memphis,Memphis Grizzlies,NBA,Western,Southwest,,,FIRST,false,0,false,false
