season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1989,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,false,,,
1990,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,false,,,
1991,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,LAST,LAST,LAST,false,,,
1992,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,false,,,
1993,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,false,,,
1994,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,LAST,false,,,
1995,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,false,,,
1996,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,true,0,false,false
1997,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,true,0,false,false
1998,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,true,0,false,false
1999,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,true,0,false,false
2000,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,true,0,false,false
2001,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,true,0,false,false
2002,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,,,true,0,false,false
2003,Minneapolis,Minnesota Timberwolves,NBA,Western,Midwest,,FIRST,FIRST,true,2,false,false
2004,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,false,,,
2005,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,false,,,
2006,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,false,,,
2007,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,false,,,
2008,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,false,,,
2009,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,LAST,LAST,false,,,
2010,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,LAST,LAST,LAST,false,,,
2011,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,LAST,false,,,
2012,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,LAST,false,,,
2013,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,false,,,
2014,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,LAST,LAST,LAST,false,,,
2015,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,LAST,false,,,
2016,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,LAST,false,,,
2017,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,true,0,false,false
2018,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,LAST,false,,,
2019,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,LAST,false,,,
2020,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,false,,,
2021,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,true,0,false,false
2022,Minneapolis,Minnesota Timberwolves,NBA,Western,Northwest,,,,true,0,false,false
