season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
2002,New Orleans,New Orleans Hornets,NBA,Eastern,Central,,,,true,0,false,false
2003,New Orleans,New Orleans Hornets,NBA,Eastern,Central,,,,true,0,false,false
2004,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,LAST,LAST,false,,,
2005,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,,,false,,,
2006,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,,,false,,,
2007,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,,FIRST,true,1,false,false
2008,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,,,true,0,false,false
2009,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,,LAST,false,,,
2010,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,,,true,0,false,false
2011,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,LAST,LAST,false,,,
2012,New Orleans,New Orleans Hornets,NBA,Western,Southwest,,,LAST,false,,,
2013,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,LAST,false,,,
2014,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,LAST,true,0,false,false
2015,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,LAST,false,,,
2016,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,,false,,,
2017,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,,true,1,false,false
2018,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,,false,,,
2019,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,LAST,false,,,
2020,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,,false,,,
2021,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,,true,0,false,false
2022,New Orleans,New Orleans Pelicans,NBA,Western,Southwest,,,,false,,,
