season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1946,New York,New York Knicks,NBA,Eastern,,,,,true,1,false,false
1947,New York,New York Knicks,NBA,Eastern,,,,,true,0,false,false
1948,New York,New York Knicks,NBA,Eastern,,,,,true,1,false,false
1949,New York,New York Knicks,NBA,Eastern,,,,,true,1,true,false
1950,New York,New York Knicks,NBA,Eastern,,,,,true,2,true,false
1951,New York,New York Knicks,NBA,Eastern,,,,,true,2,true,false
1952,New York,New York Knicks,NBA,Eastern,,,FIRST,,true,2,false,false
1953,New York,New York Knicks,NBA,Eastern,,,FIRST,,true,0,false,false
1954,New York,New York Knicks,NBA,Eastern,,,,,true,0,false,false
1955,New York,New York Knicks,NBA,Eastern,,,FIRST,,true,0,false,false
1956,New York,New York Knicks,NBA,Eastern,,,LAST,,false,,,
1957,New York,New York Knicks,NBA,Eastern,,,LAST,,false,,,
1958,New York,New York Knicks,NBA,Eastern,,,,,true,0,false,false
1959,New York,New York Knicks,NBA,Eastern,,,LAST,,false,,,
1960,New York,New York Knicks,NBA,Eastern,,LAST,LAST,,false,,,
1961,New York,New York Knicks,NBA,Eastern,,,LAST,,false,,,
1962,New York,New York Knicks,NBA,Eastern,,LAST,LAST,,false,,,
1963,New York,New York Knicks,NBA,Eastern,,LAST,LAST,,false,,,
1964,New York,New York Knicks,NBA,Eastern,,,LAST,,false,,,
1965,New York,New York Knicks,NBA,Eastern,,,LAST,,false,,,
1966,New York,New York Knicks,NBA,Eastern,,,,,true,0,false,false
1967,New York,New York Knicks,NBA,Eastern,,,,,true,0,false,false
1968,New York,New York Knicks,NBA,Eastern,,,,,true,1,false,false
1969,New York,New York Knicks,NBA,Eastern,,FIRST,FIRST,,true,3,true,true
1970,New York,New York Knicks,NBA,Eastern,Atlantic,,FIRST,FIRST,true,1,false,false
1971,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,2,true,false
1972,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,3,true,true
1973,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1974,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,0,false,false
1975,New York,New York Knicks,NBA,Eastern,Atlantic,,,LAST,false,,,
1976,New York,New York Knicks,NBA,Eastern,Atlantic,,,,false,,,
1977,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1978,New York,New York Knicks,NBA,Eastern,Atlantic,,,,false,,,
1979,New York,New York Knicks,NBA,Eastern,Atlantic,,,,false,,,
1980,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,0,false,false
1981,New York,New York Knicks,NBA,Eastern,Atlantic,,,LAST,false,,,
1982,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1983,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1984,New York,New York Knicks,NBA,Eastern,Atlantic,,,LAST,false,,,
1985,New York,New York Knicks,NBA,Eastern,Atlantic,LAST,LAST,LAST,false,,,
1986,New York,New York Knicks,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
1987,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,0,false,false
1988,New York,New York Knicks,NBA,Eastern,Atlantic,,,FIRST,true,1,false,false
1989,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1990,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,0,false,false
1991,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1992,New York,New York Knicks,NBA,Eastern,Atlantic,,FIRST,FIRST,true,2,false,false
1993,New York,New York Knicks,NBA,Eastern,Atlantic,,FIRST,FIRST,true,3,true,false
1994,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1995,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1996,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1997,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,1,false,false
1998,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,3,true,false
1999,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,2,false,false
2000,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,0,false,false
2001,New York,New York Knicks,NBA,Eastern,Atlantic,,,LAST,false,,,
2002,New York,New York Knicks,NBA,Eastern,Atlantic,,,,false,,,
2003,New York,New York Knicks,NBA,Eastern,Atlantic,,,,true,0,false,false
2004,New York,New York Knicks,NBA,Eastern,Atlantic,,,LAST,false,,,
2005,New York,New York Knicks,NBA,Eastern,Atlantic,,LAST,LAST,false,,,
2006,New York,New York Knicks,NBA,Eastern,Atlantic,,,,false,,,
2007,New York,New York Knicks,NBA,Eastern,Atlantic,,,LAST,false,,,
