season,metro,team_name,league,conference,division,league_position,conference_position,division_position
1968,Phoenix,Phoenix Suns,NBA,Western,,LAST,LAST,
1969,Phoenix,Phoenix Suns,NBA,Western,,,,
1970,Phoenix,Phoenix Suns,NBA,Western,Midwest,,,
1971,Phoenix,Phoenix Suns,NBA,Western,Midwest,,,
1972,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1973,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1974,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1975,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1976,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,LAST
1977,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1978,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1979,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1980,Phoenix,Phoenix Suns,NBA,Western,Pacific,,FIRST,FIRST
1981,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1982,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1983,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1984,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1985,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1986,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1987,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1988,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1989,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1990,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1991,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1992,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST
1993,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1994,Phoenix,Phoenix Suns,NBA,Western,Pacific,FIRST,FIRST,FIRST
1995,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1996,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1997,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1998,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
1999,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2000,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2001,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2002,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2003,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2004,Phoenix,Phoenix Suns,NBA,Western,Pacific,FIRST,FIRST,FIRST
2005,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST
2006,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST
2007,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2008,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2009,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2010,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2011,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2012,Phoenix,Phoenix Suns,NBA,Western,Pacific,,LAST,LAST
2013,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2014,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2015,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2016,Phoenix,Phoenix Suns,NBA,Western,Pacific,,LAST,LAST
2017,Phoenix,Phoenix Suns,NBA,Western,Pacific,LAST,LAST,LAST
2018,Phoenix,Phoenix Suns,NBA,Western,Pacific,,LAST,LAST
2019,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
2020,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,FIRST
2021,Phoenix,Phoenix Suns,NBA,Western,Pacific,FIRST,FIRST,FIRST
2022,Phoenix,Phoenix Suns,NBA,Western,Pacific,,,
