season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1948,Rochester,Rochester Royals,NBA,Western,,FIRST,FIRST,,true,1,false,false
1949,Rochester,Rochester Royals,NBA,Central,,,,FIRST_TIED,true,0,false,false
1950,Rochester,Rochester Royals,NBA,Western,,,,,true,3,true,true
1951,Rochester,Rochester Royals,NBA,Western,,FIRST,FIRST,,true,1,false,false
1952,Rochester,Rochester Royals,NBA,Western,,,,,true,0,false,false
1953,Rochester,Rochester Royals,NBA,Western,,,,,true,1,false,false
1954,Rochester,Rochester Royals,NBA,Western,,,,,true,0,false,false
1955,Rochester,Rochester Royals,NBA,Western,,LAST,LAST,,false,,,
1956,Rochester,Rochester Royals,NBA,Western,,LAST,LAST,,false,,,
1957,Cincinnati,Cincinnati Royals,NBA,Western,,,,,true,0,false,false
1958,Cincinnati,Cincinnati Royals,NBA,Western,,LAST,LAST,,false,,,
1959,Cincinnati,Cincinnati Royals,NBA,Western,,LAST,LAST,,false,,,
1960,Cincinnati,Cincinnati Royals,NBA,Western,,,LAST,,false,,,
1961,Cincinnati,Cincinnati Royals,NBA,Western,,,,,true,0,false,false
1962,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,true,1,false,false
1963,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,true,1,false,false
1964,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,true,0,false,false
1965,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,true,0,false,false
1966,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,true,0,false,false
1967,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,false,,,
1968,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,false,,,
1969,Cincinnati,Cincinnati Royals,NBA,Eastern,,,,,false,,,
1970,Cincinnati,Cincinnati Royals,NBA,Eastern,Central,,,,false,,,
1971,Cincinnati,Cincinnati Royals,NBA,Eastern,Central,,,,false,,,
1972,Kansas City,Kansas City-Omaha Kings,NBA,Western,Midwest,,,LAST,false,,,
1973,Kansas City,Kansas City-Omaha Kings,NBA,Western,Midwest,,,LAST,false,,,
1974,Kansas City,Kansas City-Omaha Kings,NBA,Western,Midwest,,,,true,0,false,false
1975,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,,false,,,
1976,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,,false,,,
1977,Kansas City,Kansas City Kings,NBA,Western,Midwest,,LAST_TIED,LAST_TIED,false,,,
1978,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,FIRST,true,0,false,false
1979,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,,true,0,false,false
1980,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,,true,2,false,false
1981,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,,false,,,
1982,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,,false,,,
1983,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,,true,0,false,false
1984,Kansas City,Kansas City Kings,NBA,Western,Midwest,,,LAST,false,,,
1985,Sacramento,Sacramento Kings,NBA,Western,Midwest,,,,true,0,false,false
1986,Sacramento,Sacramento Kings,NBA,Western,Midwest,,,,false,,,
1987,Sacramento,Sacramento Kings,NBA,Western,Midwest,,,LAST,false,,,
1988,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
1989,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
1990,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
1991,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
1992,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
1993,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
1994,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
1995,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,true,0,false,false
1996,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
1997,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
1998,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,true,0,false,false
1999,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,true,0,false,false
2000,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,true,1,false,false
2001,Sacramento,Sacramento Kings,NBA,Western,Pacific,FIRST,FIRST,FIRST,true,2,false,false
2002,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,FIRST,true,1,false,false
2003,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,true,1,false,false
2004,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,true,0,false,false
2005,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,true,0,false,false
2006,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
2007,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2008,Sacramento,Sacramento Kings,NBA,Western,Pacific,LAST,LAST,LAST,false,,,
2009,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
2010,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
2011,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
2012,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2013,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2014,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2015,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2016,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2017,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2018,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2019,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,,false,,,
2020,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
2021,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,LAST,false,,,
2022,Sacramento,Sacramento Kings,NBA,Western,Pacific,,,FIRST,true,0,false,false
