season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1974,New Orleans,New Orleans Jazz,NBA,Eastern,Central,LAST,LAST,LAST,false,,,
1975,New Orleans,New Orleans Jazz,NBA,Eastern,Central,,,,false,,,
1976,New Orleans,New Orleans Jazz,NBA,Eastern,Central,,,,false,,,
1977,New Orleans,New Orleans Jazz,NBA,Eastern,Central,,,,false,,,
1978,New Orleans,New Orleans Jazz,NBA,Eastern,Central,,LAST,LAST,false,,,
1979,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,LAST,LAST,false,,,
1980,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,false,,,
1981,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,LAST,false,,,
1982,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,false,,,
1983,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,FIRST,true,1,,
1984,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,1,,
1985,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
1986,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
1987,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,1,,
1988,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,FIRST,true,0,,
1989,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
1990,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,1,,
1991,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,FIRST,true,2,,
1992,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
1993,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,2,,
1994,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
1995,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,2,,
1996,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,FIRST,FIRST,true,3,true,
1997,Salt Lake City,Utah Jazz,NBA,Western,Midwest,FIRST,FIRST,FIRST,true,3,true,
1998,Salt Lake City,Utah Jazz,NBA,Western,Midwest,FIRST,FIRST,FIRST,true,1,,
1999,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,FIRST,true,1,,
2000,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
2001,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
2002,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,,true,0,,
2003,Salt Lake City,Utah Jazz,NBA,Western,Midwest,,,LAST,false,,,
2004,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,LAST,false,,,
2005,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,false,,,
2006,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,FIRST,true,2,,
2007,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,FIRST,true,1,,
2008,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,true,0,,
2009,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,true,1,,
2010,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,false,,,
2011,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,true,0,,
2012,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,false,,,
2013,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,LAST,LAST,false,,,
2014,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,false,,,
2015,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,false,,,
2016,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,FIRST,true,1,,
2017,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,true,1,,
2018,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,true,0,,
2019,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,true,0,,
2020,Salt Lake City,Utah Jazz,NBA,Western,Northwest,FIRST,FIRST,FIRST,true,1,,
2021,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,FIRST,true,0,,
2022,Salt Lake City,Utah Jazz,NBA,Western,Northwest,,,,false,,,
