name,year,league,number_of_rounds
1933 NFL Championship,1933,NFL,1
1934 NFL Championship,1934,NFL,1
1935 NFL Championship,1935,NFL,1
1936 NFL Championship,1936,NFL,1
1937 NFL Championship,1937,NFL,1
1938 NFL Championship,1938,NFL,1
1939 NFL Championship,1939,NFL,1
1940 NFL Championship,1940,NFL,1
1941 NFL Championship,1941,NFL,1
1942 NFL Championship,1942,NFL,1
1943 NFL Championship,1943,NFL,1
1944 NFL Championship,1944,NFL,1
1945 NFL Championship,1945,NFL,1
1946 NFL Championship,1946,NFL,1
1947 NFL Championship,1947,NFL,1
1948 NFL Championship,1948,NFL,1
1949 NFL Championship,1949,NFL,1
1950 NFL Championship,1950,NFL,1
1951 NFL Championship,1951,NFL,1
1952 NFL Championship,1952,NFL,1
1953 NFL Championship,1953,NFL,1
1954 NFL Championship,1954,NFL,1
1955 NFL Championship,1955,NFL,1
1956 NFL Championship,1956,NFL,1
1957 NFL Championship,1957,NFL,1
1958 NFL Championship,1958,NFL,1
1959 NFL Championship,1959,NFL,1
1960 NFL Championship,1960,NFL,1
1961 NFL Championship,1961,NFL,1
1962 NFL Championship,1962,NFL,1
1963 NFL Championship,1963,NFL,1
1964 NFL Championship,1964,NFL,1
1965 NFL Championship,1965,NFL,1
1966 NFL Championship,1966,NFL,1
1967 NFL Playoffs,1967,NFL,2
1968 NFL Playoffs,1968,NFL,2
1969 NFL Playoffs,1969,NFL,2
1970-71 NFL Playoffs,1970,NFL,3
1971-72 NFL Playoffs,1971,NFL,3
1972-73 NFL Playoffs,1972,NFL,3
1973-74 NFL Playoffs,1973,NFL,3
1974-75 NFL Playoffs,1974,NFL,3
1975-76 NFL Playoffs,1975,NFL,3
1976-77 NFL Playoffs,1976,NFL,3
1977-78 NFL Playoffs,1977,NFL,3
1978-79 NFL Playoffs,1978,NFL,4
1979-80 NFL Playoffs,1979,NFL,4
1980-81 NFL Playoffs,1980,NFL,4
1981-82 NFL Playoffs,1981,NFL,4
1982-83 NFL Playoffs,1982,NFL,4
1983-84 NFL Playoffs,1983,NFL,4
1984-85 NFL Playoffs,1984,NFL,4
1985-86 NFL Playoffs,1985,NFL,4
1986-87 NFL Playoffs,1986,NFL,4
1987-88 NFL Playoffs,1987,NFL,4
1988-89 NFL Playoffs,1988,NFL,4
1989-90 NFL Playoffs,1989,NFL,4
1990-91 NFL Playoffs,1990,NFL,4
1991-92 NFL Playoffs,1991,NFL,4
1992-93 NFL Playoffs,1992,NFL,4
1993-94 NFL Playoffs,1993,NFL,4
1994-95 NFL Playoffs,1994,NFL,4
1995-96 NFL Playoffs,1995,NFL,4
1996-97 NFL Playoffs,1996,NFL,4
1997-98 NFL Playoffs,1997,NFL,4
1998-99 NFL Playoffs,1998,NFL,4
1999-00 NFL Playoffs,1999,NFL,4
2000-01 NFL Playoffs,2000,NFL,4
2001-02 NFL Playoffs,2001,NFL,4
2002-03 NFL Playoffs,2002,NFL,4
2003-04 NFL Playoffs,2003,NFL,4
2004-05 NFL Playoffs,2004,NFL,4
2005-06 NFL Playoffs,2005,NFL,4
2006-07 NFL Playoffs,2006,NFL,4
2007-08 NFL Playoffs,2007,NFL,4
2008-09 NFL Playoffs,2008,NFL,4
2009-10 NFL Playoffs,2009,NFL,4
2010-11 NFL Playoffs,2010,NFL,4
2011-12 NFL Playoffs,2011,NFL,4
2012-13 NFL Playoffs,2012,NFL,4
2013-14 NFL Playoffs,2013,NFL,4
2014-15 NFL Playoffs,2014,NFL,4
2015-16 NFL Playoffs,2015,NFL,4
2016-17 NFL Playoffs,2016,NFL,4
2017-18 NFL Playoffs,2017,NFL,4
2018-19 NFL Playoffs,2018,NFL,4
2019-20 NFL Playoffs,2019,NFL,4
2020-21 NFL Playoffs,2020,NFL,4
2021-22 NFL Playoffs,2021,NFL,4
2022-23 NFL Playoffs,2022,NFL,4
