postseason,league,metro,rounds_won,appeared_in_championship,won_championship
1979,NFL,Tampa Bay,1,false,false
1981,NFL,Tampa Bay,0,false,false
1982,NFL,Tampa Bay,0,false,false
1997,NFL,Tampa Bay,1,false,false
1999,NFL,Tampa Bay,1,false,false
2000,NFL,Tampa Bay,0,false,false
2001,NFL,Tampa Bay,0,false,false
2002,NFL,Tampa Bay,3,true,true
2005,NFL,Tampa Bay,0,false,false
2007,NFL,Tampa Bay,0,false,false
2020,NFL,Tampa Bay,4,true,true
2021,NFL,Tampa Bay,1,false,false
2022,NFL,Tampa Bay,0,false,false
