season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Atlanta,Atlanta Falcons,NFL,NFL East,,,,,false,,,
1967,Atlanta,Atlanta Falcons,NFL,NFL West,Coastal,LAST,LAST,LAST,false,,,
1968,Atlanta,Atlanta Falcons,NFL,NFL West,Coastal,,LAST,LAST,false,,,
1969,Atlanta,Atlanta Falcons,NFL,NFL West,Coastal,,,,false,,,
1970,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1971,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1972,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1973,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1974,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST,false,,,
1975,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1976,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1977,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1978,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,true,1,,
1979,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1980,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,FIRST_TIED,FIRST_TIED,FIRST,true,0,,
1981,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1982,Atlanta,Atlanta Falcons,NFL,NFC,,,,,true,0,,
1983,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST,false,,,
1984,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST,false,,,
1985,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST,false,,,
1986,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1987,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,LAST,LAST,LAST,false,,,
1988,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST,false,,,
1989,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST,false,,,
1990,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,LAST_TIED,LAST_TIED,false,,,
1991,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,true,1,,
1992,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST_TIED,false,,,
1993,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1994,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1995,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,true,0,,
1996,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,LAST_TIED,LAST_TIED,false,,,
1997,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
1998,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,FIRST,true,2,true,
1999,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
2000,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,LAST,false,,,
2001,Atlanta,Atlanta Falcons,NFL,NFC,NFC West,,,,false,,,
2002,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,true,1,,
2003,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,LAST,false,,,
2004,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,FIRST,true,1,,
2005,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2006,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2007,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,LAST,false,,,
2008,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,true,0,,
2009,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2010,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,FIRST,FIRST,true,0,,
2011,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,true,0,,
2012,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,FIRST_TIED,FIRST,FIRST,true,1,,
2013,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,LAST_TIED,false,,,
2014,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2015,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2016,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,FIRST,true,2,true,
2017,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,true,1,,
2018,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2019,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2020,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,LAST,LAST,false,,,
2021,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
2022,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,LAST_TIED,false,,,
2023,Atlanta,Atlanta Falcons,NFL,NFC,NFC South,,,,false,,,
