season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1995,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,LAST,false,,,
1996,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,FIRST,false,1,,
1997,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,,false,,,
1998,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,LAST,false,,,
1999,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,,false,,,
2000,Charlotte,Carolina Panthers,NFL,NFC,NFC West,,,,false,,,
2001,Charlotte,Carolina Panthers,NFL,NFC,NFC West,LAST,LAST,LAST,false,,,
2002,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2003,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST,false,3,true,
2004,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2005,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,2,,
2006,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2007,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2008,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,FIRST,FIRST,false,0,,
2009,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2010,Charlotte,Carolina Panthers,NFL,NFC,NFC South,LAST,LAST,LAST,false,,,
2011,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2012,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2013,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST,false,0,,
2014,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST,false,1,,
2015,Charlotte,Carolina Panthers,NFL,NFC,NFC South,FIRST,FIRST,FIRST,false,2,true,
2016,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2017,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,FIRST,false,0,,
2018,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2019,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2020,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,,false,,,
2021,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
2022,Charlotte,Carolina Panthers,NFL,NFC,NFC South,,,LAST,false,,,
