season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,1,true,true
1934,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,0,true,
1935,Chicago,Chicago Bears,NFL,Western,,,LAST,LAST,false,,,
1936,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1937,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,0,true,
1938,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1939,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1940,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,1,true,true
1941,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,1,true,true
1942,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,0,true,
1943,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,1,true,true
1944,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1945,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1946,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,1,true,true
1947,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1948,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1949,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1950,Chicago,Chicago Bears,NFL,National,,FIRST,FIRST,,true,0,,
1951,Chicago,Chicago Bears,NFL,National,,,,,false,,,
1952,Chicago,Chicago Bears,NFL,National,,,,,false,,,
1953,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1954,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1955,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1956,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,0,true,
1957,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1958,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1959,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1960,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1961,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1962,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1963,Chicago,Chicago Bears,NFL,Western,,FIRST,FIRST,,true,1,true,true
1964,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1965,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1966,Chicago,Chicago Bears,NFL,Western,,,,,false,,,
1967,Chicago,Chicago Bears,NFL,Western,Central,,,,false,,,
1968,Chicago,Chicago Bears,NFL,Western,Central,,,,false,,,
1969,Chicago,Chicago Bears,NFL,Western,Central,LAST,LAST,,false,,,
1970,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1971,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1972,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1973,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1974,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1975,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1976,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1977,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,true,0,,
1978,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1979,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,FIRST,true,0,,
1980,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1981,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1982,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1983,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1984,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,FIRST,true,1,,
1985,Chicago,Chicago Bears,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,3,true,true
1986,Chicago,Chicago Bears,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,0,,
1987,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,true,0,,
1988,Chicago,Chicago Bears,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,1,,
1989,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1990,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,FIRST,true,1,,
1991,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,true,0,,
1992,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1993,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1994,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,true,1,,
1995,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1996,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,,false,,,
1997,Chicago,Chicago Bears,NFL,NFC,NFC Central,,LAST,LAST,false,,,
1998,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
1999,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
2000,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,LAST,false,,,
2001,Chicago,Chicago Bears,NFL,NFC,NFC Central,,,FIRST,true,0,,
2002,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2003,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2004,Chicago,Chicago Bears,NFL,NFC,NFC North,,,LAST,false,,,
2005,Chicago,Chicago Bears,NFL,NFC,NFC North,,,FIRST,true,0,,
2006,Chicago,Chicago Bears,NFL,NFC,NFC North,,FIRST,FIRST,true,2,true,
2007,Chicago,Chicago Bears,NFL,NFC,NFC North,,,LAST,false,,,
2008,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2009,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2010,Chicago,Chicago Bears,NFL,NFC,NFC North,,,FIRST,true,1,,
2011,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2012,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2013,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2014,Chicago,Chicago Bears,NFL,NFC,NFC North,,,LAST,false,,,
2015,Chicago,Chicago Bears,NFL,NFC,NFC North,,,LAST,false,,,
2016,Chicago,Chicago Bears,NFL,NFC,NFC North,,,LAST,false,,,
2017,Chicago,Chicago Bears,NFL,NFC,NFC North,,,LAST,false,,,
2018,Chicago,Chicago Bears,NFL,NFC,NFC North,,,FIRST,true,0,,
2019,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2020,Chicago,Chicago Bears,NFL,NFC,NFC North,,,FIRST,true,0,,
2021,Chicago,Chicago Bears,NFL,NFC,NFC North,,,,false,,,
2022,Chicago,Chicago Bears,NFL,NFC,NFC North,LAST,LAST,LAST,false,,,
