season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1968,Cincinnati,Cincinnati Bengals,NFL,AFL West,,,LAST,,false,,,
1969,Cincinnati,Cincinnati Bengals,NFL,AFL West,,,LAST,,false,,,
1970,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,FIRST,true,0,,
1971,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,LAST,false,,,
1972,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1973,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,FIRST_TIED,true,0,,
1974,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1975,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,true,0,,
1976,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,FIRST_TIED,false,,,
1977,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1978,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,LAST_TIED,LAST,false,,,
1979,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,LAST,LAST,false,,,
1980,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,LAST,false,,,
1981,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,FIRST,FIRST,true,2,true,
1982,Cincinnati,Cincinnati Bengals,NFL,AFC,,,,,true,0,,
1983,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1984,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1985,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1986,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1987,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,LAST_TIED,LAST,false,,,
1988,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,FIRST_TIED,FIRST_TIED,FIRST,true,2,true,
1989,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,LAST,false,,,
1990,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,FIRST_TIED,true,1,,
1991,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,LAST,false,,,
1992,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,LAST,false,,,
1993,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,LAST,LAST,LAST,false,,,
1994,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1995,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1996,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1997,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
1998,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,LAST_TIED,LAST_TIED,LAST,false,,,
1999,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
2000,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,,false,,,
2001,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC Central,,,LAST_TIED,false,,,
2002,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,LAST,LAST,LAST,false,,,
2003,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,false,,,
2004,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,false,,,
2005,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,FIRST_TIED,true,0,,
2006,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,false,,,
2007,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,false,,,
2008,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,false,,,
2009,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,FIRST,true,0,,
2010,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,LAST_TIED,LAST,false,,,
2011,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,true,0,,
2012,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,FIRST_TIED,true,0,,
2013,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,FIRST,true,0,,
2014,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,true,0,,
2015,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,FIRST_TIED,FIRST,true,0,,
2016,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,false,,,
2017,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,,false,,,
2018,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,LAST,false,,,
2019,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,LAST,LAST,LAST,false,,,
2020,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,LAST,false,,,
2021,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,FIRST,true,3,true,
2022,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,FIRST,true,2,,
2023,Cincinnati,Cincinnati Bengals,NFL,AFC,AFC North,,,LAST,false,,,
