season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Denver,Denver Broncos,NFL,West,,,,,false,,,
1967,Denver,Denver Broncos,NFL,West,,,,,false,,,
1968,Denver,Denver Broncos,NFL,West,,,,,false,,,
1969,Denver,Denver Broncos,NFL,West,,,,,false,,,
1970,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
1971,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
1972,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1973,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1974,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1975,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1976,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1977,Denver,Denver Broncos,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,2,true,
1978,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,true,0,,
1979,Denver,Denver Broncos,NFL,AFC,AFC West,,,,true,0,,
1980,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1981,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,false,,,
1982,Denver,Denver Broncos,NFL,AFC,,,,,false,,,
1983,Denver,Denver Broncos,NFL,AFC,AFC West,,,,true,0,,
1984,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,true,0,,
1985,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1986,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,true,2,true,
1987,Denver,Denver Broncos,NFL,AFC,AFC West,,FIRST,FIRST,true,2,true,
1988,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1989,Denver,Denver Broncos,NFL,AFC,AFC West,,FIRST,FIRST,true,2,true,
1990,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
1991,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,true,1,,
1992,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1993,Denver,Denver Broncos,NFL,AFC,AFC West,,,,true,0,,
1994,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1995,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
1996,Denver,Denver Broncos,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,0,,
1997,Denver,Denver Broncos,NFL,AFC,AFC West,,,,true,4,true,true
1998,Denver,Denver Broncos,NFL,AFC,AFC West,,FIRST,FIRST,true,3,true,true
1999,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
2000,Denver,Denver Broncos,NFL,AFC,AFC West,,,,true,0,,
2001,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2002,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2003,Denver,Denver Broncos,NFL,AFC,AFC West,,,,true,0,,
2004,Denver,Denver Broncos,NFL,AFC,AFC West,,,,true,0,,
2005,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,true,1,,
2006,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2007,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2008,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,false,,,
2009,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2010,Denver,Denver Broncos,NFL,AFC,AFC West,,LAST,LAST,false,,,
2011,Denver,Denver Broncos,NFL,AFC,AFC West,,,FIRST,true,1,,
2012,Denver,Denver Broncos,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,0,,
2013,Denver,Denver Broncos,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,2,true,
2014,Denver,Denver Broncos,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,0,,
2015,Denver,Denver Broncos,NFL,AFC,AFC West,,FIRST,FIRST,true,3,true,true
2016,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2017,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
2018,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2019,Denver,Denver Broncos,NFL,AFC,AFC West,,,,false,,,
2020,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
2021,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
2022,Denver,Denver Broncos,NFL,AFC,AFC West,,,LAST,false,,,
