season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1934,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1935,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1936,Green Bay,Green Bay Packers,NFL,West,,FIRST,FIRST,,true,1,true,true
1937,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1938,Green Bay,Green Bay Packers,NFL,West,,,FIRST,,true,0,true,
1939,Green Bay,Green Bay Packers,NFL,West,,,FIRST,,true,1,true,true
1940,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1941,Green Bay,Green Bay Packers,NFL,West,,FIRST_TIED,FIRST_TIED,,true,0,,
1942,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1943,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1944,Green Bay,Green Bay Packers,NFL,West,,,FIRST,,true,1,true,true
1945,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1946,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1947,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1948,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1949,Green Bay,Green Bay Packers,NFL,West,,,LAST,,false,,,
1950,Green Bay,Green Bay Packers,NFL,National,,,,,false,,,
1951,Green Bay,Green Bay Packers,NFL,National,,,,,false,,,
1952,Green Bay,Green Bay Packers,NFL,National,,,,,false,,,
1953,Green Bay,Green Bay Packers,NFL,West,,,LAST,,false,,,
1954,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1955,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1956,Green Bay,Green Bay Packers,NFL,West,,,LAST_TIED,,false,,,
1957,Green Bay,Green Bay Packers,NFL,West,,LAST_TIED,LAST,,false,,,
1958,Green Bay,Green Bay Packers,NFL,West,,LAST,LAST,,false,,,
1959,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1960,Green Bay,Green Bay Packers,NFL,West,,,FIRST,,true,0,true,
1961,Green Bay,Green Bay Packers,NFL,West,,FIRST,FIRST,,true,1,true,true
1962,Green Bay,Green Bay Packers,NFL,West,,FIRST,FIRST,,true,1,true,true
1963,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1964,Green Bay,Green Bay Packers,NFL,West,,,,,false,,,
1965,Green Bay,Green Bay Packers,NFL,West,,,FIRST_TIED,,true,2,true,true
1966,Green Bay,Green Bay Packers,NFL,NFL West,,FIRST,FIRST,,true,2,true,true
1967,Green Bay,Green Bay Packers,NFL,NFL West,Central,,,FIRST,true,3,true,true
1968,Green Bay,Green Bay Packers,NFL,NFL West,Central,,,,false,,,
1969,Green Bay,Green Bay Packers,NFL,NFL West,Central,,,,false,,,
1970,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1971,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,LAST,false,,,
1972,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,FIRST,true,0,,
1973,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1974,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1975,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1976,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,LAST,false,,,
1977,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1978,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,FIRST_TIED,false,,,
1979,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1980,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1981,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1982,Green Bay,Green Bay Packers,NFL,NFC,,,,,true,1,,
1983,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1984,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1985,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1986,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1987,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1988,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1989,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,FIRST_TIED,false,,,
1990,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,LAST_TIED,false,,,
1991,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1992,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
1993,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,true,1,,
1994,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,true,1,,
1995,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,FIRST,true,2,,
1996,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,FIRST_TIED,FIRST,FIRST,true,3,true,true
1997,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,FIRST_TIED,FIRST_TIED,FIRST,true,2,true,
1998,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,true,0,,
1999,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
2000,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,false,,,
2001,Green Bay,Green Bay Packers,NFL,NFC,NFC Central,,,,true,1,,
2002,Green Bay,Green Bay Packers,NFL,NFC,NFC North,FIRST_TIED,FIRST_TIED,FIRST,true,0,,
2003,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,FIRST,true,1,,
2004,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,FIRST,true,0,,
2005,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,LAST,false,,,
2006,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,false,,,
2007,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,FIRST_TIED,FIRST,true,1,,
2008,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,false,,,
2009,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,true,0,,
2010,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,true,4,true,true
2011,Green Bay,Green Bay Packers,NFL,NFC,NFC North,FIRST,FIRST,FIRST,true,0,,
2012,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,FIRST,true,1,,
2013,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,FIRST,true,0,,
2014,Green Bay,Green Bay Packers,NFL,NFC,NFC North,FIRST_TIED,FIRST_TIED,FIRST,true,1,,
2015,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,true,1,,
2016,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,FIRST,true,2,,
2017,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,false,,,
2018,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,false,,,
2019,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,FIRST_TIED,FIRST,true,1,,
2020,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,FIRST,FIRST,true,1,,
2021,Green Bay,Green Bay Packers,NFL,NFC,NFC North,FIRST_TIED,FIRST_TIED,FIRST,true,0,,
2022,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,false,,,
2023,Green Bay,Green Bay Packers,NFL,NFC,NFC North,,,,true,1,,
