season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1953,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1954,Baltimore,Baltimore Colts,NFL,West,,,LAST,,false,,,
1955,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1956,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1957,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1958,Baltimore,Baltimore Colts,NFL,West,,FIRST_TIED,FIRST,,true,1,true,true
1959,Baltimore,Baltimore Colts,NFL,West,,,FIRST,,true,1,true,true
1960,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1961,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1962,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1963,Baltimore,Baltimore Colts,NFL,West,,,,,false,,,
1964,Baltimore,Baltimore Colts,NFL,West,,FIRST,FIRST,,true,0,true,
1965,Baltimore,Baltimore Colts,NFL,West,,,FIRST_TIED,,true,0,,
1966,Baltimore,Baltimore Colts,NFL,NFL West,,,,,false,,,
1967,Baltimore,Baltimore Colts,NFL,NFL West,Coastal,,,,false,,,
1968,Baltimore,Baltimore Colts,NFL,NFL West,Coastal,FIRST,FIRST,FIRST,true,2,true,
1969,Baltimore,Baltimore Colts,NFL,NFL West,Coastal,,,,false,,,
1970,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,FIRST,FIRST,true,3,true,true
1971,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,,true,1,,
1972,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,,false,,,
1973,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1974,Baltimore,Baltimore Colts,NFL,AFC,AFC East,LAST_TIED,LAST,LAST,false,,,
1975,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,FIRST_TIED,true,0,,
1976,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,FIRST_TIED,true,0,,
1977,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,FIRST_TIED,true,0,,
1978,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1979,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,LAST,false,,,
1980,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,,false,,,
1981,Baltimore,Baltimore Colts,NFL,AFC,AFC East,LAST_TIED,LAST_TIED,LAST_TIED,false,,,
1982,Baltimore,Baltimore Colts,NFL,AFC,,LAST,LAST,,false,,,
1983,Baltimore,Baltimore Colts,NFL,AFC,AFC East,,,LAST_TIED,false,,,
1984,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
1985,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
1986,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,LAST,LAST,false,,,
1987,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,FIRST,true,0,,
1988,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
1989,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
1990,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
1991,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1992,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
1993,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,LAST,false,,,
1994,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
1995,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,true,2,,
1996,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,true,0,,
1997,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
1998,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,LAST_TIED,LAST_TIED,LAST,false,,,
1999,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,FIRST,true,0,,
2000,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,true,0,,
2001,Indianapolis,Indianapolis Colts,NFL,AFC,AFC East,,,,false,,,
2002,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,true,0,,
2003,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST,true,2,,
2004,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST,true,1,,
2005,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,FIRST,FIRST,FIRST,true,0,,
2006,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST,true,4,true,true
2007,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST,true,0,,
2008,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,true,0,,
2009,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,FIRST,FIRST,FIRST,true,2,true,
2010,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST,true,0,,
2011,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,LAST_TIED,LAST,LAST,false,,,
2012,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,true,0,,
2013,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST,true,1,,
2014,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST,true,2,,
2015,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,false,,,
2016,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,false,,,
2017,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,LAST_TIED,false,,,
2018,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,true,1,,
2019,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,false,,,
2020,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,FIRST_TIED,true,0,,
2021,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,false,,,
2022,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,false,,,
2023,Indianapolis,Indianapolis Colts,NFL,AFC,AFC South,,,,false,,,
