season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1995,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC Central,,,LAST,false,,,
1996,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC Central,,,,true,2,,
1997,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC Central,,,FIRST_TIED,true,0,,
1998,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC Central,,,FIRST,true,1,,
1999,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC Central,FIRST,FIRST,FIRST,true,1,,
2000,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC Central,,,,false,,,
2001,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC Central,,,LAST_TIED,false,,,
2002,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2003,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,LAST_TIED,false,,,
2004,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2005,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,true,0,,
2006,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2007,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,true,1,,
2008,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,LAST,false,,,
2009,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,LAST,false,,,
2010,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2011,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2012,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,LAST_TIED,LAST_TIED,LAST,false,,,
2013,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2014,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2015,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
2016,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,LAST,false,,,
2017,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,FIRST,true,2,,
2018,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,LAST,false,,,
2019,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,LAST,false,,,
2020,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,LAST,LAST,LAST,false,,,
2021,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,LAST,LAST,LAST,false,,,
2022,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,FIRST,true,1,,
2023,Jacksonville,Jacksonville Jaguars,NFL,AFC,AFC South,,,,false,,,
