season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,San Francisco Bay,Oakland Raiders,NFL,AFL West,,,,,false,,,
1967,San Francisco Bay,Oakland Raiders,NFL,AFL West,,FIRST,FIRST,,true,1,true,
1968,San Francisco Bay,Oakland Raiders,NFL,AFL West,,,FIRST_TIED,,true,1,,
1969,San Francisco Bay,Oakland Raiders,NFL,AFL West,,FIRST,FIRST,,true,1,,
1970,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST,true,1,,
1971,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
1972,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST,true,0,,
1973,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST,true,1,,
1974,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,1,,
1975,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST,true,1,,
1976,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,3,true,true
1977,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,true,1,,
1978,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
1979,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
1980,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,FIRST_TIED,FIRST_TIED,true,4,true,true
1981,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
1982,Los Angeles,Los Angeles Raiders,NFL,AFC,,FIRST_TIED,FIRST,,true,1,,
1983,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,FIRST_TIED,FIRST,true,3,true,true
1984,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,true,0,,
1985,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,FIRST_TIED,FIRST,true,0,,
1986,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,false,,,
1987,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,false,,,
1988,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,false,,,
1989,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,false,,,
1990,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,FIRST,true,1,,
1991,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,true,0,,
1992,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,false,,,
1993,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,true,1,,
1994,Los Angeles,Los Angeles Raiders,NFL,AFC,AFC West,,,,false,,,
1995,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1996,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1997,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1998,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
1999,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2000,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST,true,1,,
2001,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST,true,1,,
2002,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,FIRST_TIED,FIRST,true,2,true,
2003,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,LAST_TIED,LAST_TIED,,false,,,
2004,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST,false,,,
2005,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST,false,,,
2006,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,LAST,LAST,LAST,false,,,
2007,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST_TIED,false,,,
2008,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2009,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2010,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2011,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST_TIED,false,,,
2012,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2013,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST,false,,,
2014,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,LAST,false,,,
2015,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2016,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,FIRST_TIED,true,0,,
2017,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2018,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,LAST_TIED,LAST,false,,,
2019,San Francisco Bay,Oakland Raiders,NFL,AFC,AFC West,,,,false,,,
2020,Las Vegas,Las Vegas Raiders,NFL,AFC,AFC West,,,,false,,,
2021,Las Vegas,Las Vegas Raiders,NFL,AFC,AFC West,,,,true,0,,
2022,Las Vegas,Las Vegas Raiders,NFL,AFC,AFC West,,,,false,,,
