season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,San Diego,San Diego Chargers,NFL,AFL West,,,,,false,,,
1967,San Diego,San Diego Chargers,NFL,AFL West,,,,,false,,,
1968,San Diego,San Diego Chargers,NFL,AFL West,,,,,false,,,
1969,San Diego,San Diego Chargers,NFL,AFL West,,,,,false,,,
1970,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1971,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1972,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
1973,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
1974,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1975,San Diego,San Diego Chargers,NFL,AFC,AFC West,LAST_TIED,LAST,LAST,false,,,
1976,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1977,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1978,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1979,San Diego,San Diego Chargers,NFL,AFC,AFC West,FIRST_TIED,FIRST_TIED,FIRST,true,0,,
1980,San Diego,San Diego Chargers,NFL,AFC,AFC West,,FIRST_TIED,FIRST_TIED,true,1,,
1981,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,FIRST_TIED,true,1,,
1982,San Diego,San Diego Chargers,NFL,AFC,,,,,true,1,,
1983,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1984,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
1985,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1986,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
1987,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1988,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1989,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
1990,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1991,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
1992,San Diego,San Diego Chargers,NFL,AFC,AFC West,,FIRST_TIED,FIRST,true,1,,
1993,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1994,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,FIRST,true,2,true,
1995,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,true,0,,
1996,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
1997,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1998,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
1999,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
2000,San Diego,San Diego Chargers,NFL,AFC,AFC West,LAST,LAST,LAST,false,,,
2001,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
2002,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST_TIED,false,,,
2003,San Diego,San Diego Chargers,NFL,AFC,AFC West,LAST_TIED,LAST_TIED,LAST,false,,,
2004,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,FIRST,true,0,,
2005,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
2006,San Diego,San Diego Chargers,NFL,AFC,AFC West,FIRST,FIRST,FIRST,true,0,,
2007,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,FIRST,true,2,,
2008,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,FIRST_TIED,true,1,,
2009,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,FIRST,true,0,,
2010,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
2011,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,FIRST_TIED,false,,,
2012,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
2013,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,true,1,,
2014,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,,false,,,
2015,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
2016,San Diego,San Diego Chargers,NFL,AFC,AFC West,,,LAST,false,,,
2017,Los Angeles,Los Angeles Chargers,NFL,AFC,AFC West,,,,false,,,
2018,Los Angeles,Los Angeles Chargers,NFL,AFC,AFC West,,FIRST_TIED,FIRST_TIED,true,1,,
2019,Los Angeles,Los Angeles Chargers,NFL,AFC,AFC West,,,LAST,false,,,
2020,Los Angeles,Los Angeles Chargers,NFL,AFC,AFC West,,,,false,,,
2021,Los Angeles,Los Angeles Chargers,NFL,AFC,AFC West,,,,false,,,
2022,Los Angeles,Los Angeles Chargers,NFL,AFC,AFC West,,,,true,0,,
