season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1937,Cleveland,Cleveland Rams,NFL,West,,LAST,LAST,,false,,,
1938,Cleveland,Cleveland Rams,NFL,West,,,,,false,,,
1939,Cleveland,Cleveland Rams,NFL,West,,,,,false,,,
1940,Cleveland,Cleveland Rams,NFL,West,,,,,false,,,
1941,Cleveland,Cleveland Rams,NFL,West,,,LAST,,false,,,
1942,Cleveland,Cleveland Rams,NFL,West,,,,,false,,,
1944,Cleveland,Cleveland Rams,NFL,West,,,,,false,,,
1945,Cleveland,Cleveland Rams,NFL,West,,FIRST,FIRST,,true,1,true,true
1946,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1947,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1948,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1949,Los Angeles,Los Angeles Rams,NFL,West,,,FIRST,,true,0,true,
1950,Los Angeles,Los Angeles Rams,NFL,National,,,FIRST_TIED,,true,1,true,
1951,Los Angeles,Los Angeles Rams,NFL,National,,,FIRST,,true,1,true,true
1952,Los Angeles,Los Angeles Rams,NFL,National,,FIRST_TIED,FIRST_TIED,,true,0,,
1953,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1954,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1955,Los Angeles,Los Angeles Rams,NFL,West,,,FIRST,,true,0,true,
1956,Los Angeles,Los Angeles Rams,NFL,West,,,LAST_TIED,,false,,,
1957,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1958,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1959,Los Angeles,Los Angeles Rams,NFL,West,,LAST_TIED,LAST,,false,,,
1960,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1961,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1962,Los Angeles,Los Angeles Rams,NFL,West,,LAST,LAST,,false,,,
1963,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1964,Los Angeles,Los Angeles Rams,NFL,West,,,,,false,,,
1965,Los Angeles,Los Angeles Rams,NFL,West,,,LAST,,false,,,
1966,Los Angeles,Los Angeles Rams,NFL,NFL West,,,,,false,,,
1967,Los Angeles,Los Angeles Rams,NFL,NFL West,Coastal,,FIRST,FIRST,true,0,,
1968,Los Angeles,Los Angeles Rams,NFL,NFL West,Coastal,,,,false,,,
1969,Los Angeles,Los Angeles Rams,NFL,NFL West,Coastal,,,FIRST,true,0,,
1970,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,,,false,,,
1971,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,,,false,,,
1972,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,,,false,,,
1973,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,FIRST_TIED,FIRST_TIED,FIRST,true,0,,
1974,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,FIRST_TIED,FIRST,true,1,,
1975,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,FIRST_TIED,FIRST_TIED,FIRST,true,1,,
1976,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,,FIRST,true,1,,
1977,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,,FIRST,true,0,,
1978,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,FIRST_TIED,FIRST,true,1,,
1979,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,,FIRST,true,2,true,
1980,Los Angeles,Los Angeles Rams,NFL,NFC,NFC West,,,,true,0,,
