season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Miami,Miami Dolphins,NFL,AFL East,,,LAST_TIED,,false,,,
1967,Miami,Miami Dolphins,NFL,AFL East,,,,,false,,,
1968,Miami,Miami Dolphins,NFL,AFL East,,,,,false,,,
1969,Miami,Miami Dolphins,NFL,AFL East,,,LAST,,false,,,
1970,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,0,,
1971,Miami,Miami Dolphins,NFL,AFC,AFC East,,FIRST_TIED,FIRST,true,2,true,
1972,Miami,Miami Dolphins,NFL,AFC,AFC East,FIRST,FIRST,FIRST,true,3,true,true
1973,Miami,Miami Dolphins,NFL,AFC,AFC East,FIRST_TIED,FIRST,FIRST,true,3,true,true
1974,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST,true,0,,
1975,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST_TIED,false,,,
1976,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1977,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST_TIED,false,,,
1978,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST_TIED,true,0,,
1979,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST,true,0,,
1980,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1981,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST,true,0,,
1982,Miami,Miami Dolphins,NFL,AFC,,,,,true,3,true,
1983,Miami,Miami Dolphins,NFL,AFC,AFC East,,FIRST_TIED,FIRST,true,0,,
1984,Miami,Miami Dolphins,NFL,AFC,AFC East,,FIRST,FIRST,true,2,true,
1985,Miami,Miami Dolphins,NFL,AFC,AFC East,,FIRST_TIED,FIRST,true,1,,
1986,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1987,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1988,Miami,Miami Dolphins,NFL,AFC,AFC East,,,LAST,false,,,
1989,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1990,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,1,,
1991,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1992,Miami,Miami Dolphins,NFL,AFC,AFC East,,FIRST_TIED,FIRST_TIED,true,1,,
1993,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1994,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST_TIED,true,1,,
1995,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,0,,
1996,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
1997,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,0,,
1998,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,1,,
1999,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,1,,
2000,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST,true,1,,
2001,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST_TIED,true,0,,
2002,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST_TIED,false,,,
2003,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2004,Miami,Miami Dolphins,NFL,AFC,AFC East,,LAST_TIED,LAST,false,,,
2005,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2006,Miami,Miami Dolphins,NFL,AFC,AFC East,,,LAST,false,,,
2007,Miami,Miami Dolphins,NFL,AFC,AFC East,LAST,LAST,LAST,false,,,
2008,Miami,Miami Dolphins,NFL,AFC,AFC East,,,FIRST_TIED,true,0,,
2009,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2010,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2011,Miami,Miami Dolphins,NFL,AFC,AFC East,,,LAST_TIED,false,,,
2012,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2013,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2014,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2015,Miami,Miami Dolphins,NFL,AFC,AFC East,,,LAST,false,,,
2016,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,0,,
2017,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2018,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2019,Miami,Miami Dolphins,NFL,AFC,AFC East,,,LAST,false,,,
2020,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2021,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,false,,,
2022,Miami,Miami Dolphins,NFL,AFC,AFC East,,,,true,0,,
