season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1961,Minneapolis,Minnesota Vikings,NFL,West,,,LAST,,false,,,
1962,Minneapolis,Minnesota Vikings,NFL,West,,,,,false,,,
1963,Minneapolis,Minnesota Vikings,NFL,West,,,,,false,,,
1964,Minneapolis,Minnesota Vikings,NFL,West,,,,,false,,,
1965,Minneapolis,Minnesota Vikings,NFL,West,,,,,false,,,
1966,Minneapolis,Minnesota Vikings,NFL,West,,,,,false,,,
1967,Minneapolis,Minnesota Vikings,NFL,,Central,,,LAST,false,,,
1968,Minneapolis,Minnesota Vikings,NFL,,Central,,,FIRST,true,0,,
1969,Minneapolis,Minnesota Vikings,NFL,,Central,,FIRST,FIRST,true,2,true,
1970,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,0,,
1971,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,0,,
1972,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1973,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,2,true,
1974,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,FIRST,FIRST,true,2,true,
1975,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,0,,
1976,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,FIRST,FIRST,true,2,true,
1977,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,FIRST,true,1,,
1978,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,FIRST,true,0,,
1979,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1980,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,FIRST,true,0,,
1981,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1982,Minneapolis,Minnesota Vikings,NFL,NFC,,,,,true,1,,
1983,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1984,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,LAST,LAST,false,,,
1985,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1986,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1987,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,true,2,,
1988,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,true,1,,
1989,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,FIRST,true,0,,
1990,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,LAST,false,,,
1991,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1992,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,FIRST,true,0,,
1993,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,true,0,,
1994,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,FIRST,true,0,,
1995,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
1996,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,true,0,,
1997,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,true,1,,
1998,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,FIRST,FIRST,FIRST,true,1,,
1999,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,true,1,,
2000,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,FIRST,true,1,,
2001,Minneapolis,Minnesota Vikings,NFL,NFC,NFC Central,,,,false,,,
2002,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2003,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2004,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,true,1,,
2005,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2006,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2007,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2008,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,true,0,,
2009,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,FIRST,true,1,,
2010,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,LAST,false,,,
2011,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,LAST,false,,,
2012,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,true,0,,
2013,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,LAST,false,,,
2014,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2015,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,FIRST,true,0,,
2016,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2017,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,FIRST,FIRST,FIRST,true,1,,
2018,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2019,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,true,1,,
2020,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2021,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,,false,,,
2022,Minneapolis,Minnesota Vikings,NFL,NFC,NFC North,,,FIRST,true,0,,
