season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1967,New Orleans,New Orleans Saints,NFL,Eastern,Capitol,,,LAST,false,,,
1968,New Orleans,New Orleans Saints,NFL,Eastern,Century,,,,false,,,
1969,New Orleans,New Orleans Saints,NFL,Eastern,Capitol,,,,false,,,
1970,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,LAST,LAST,false,,,
1971,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,LAST,false,,,
1972,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,LAST,LAST,false,,,
1973,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,LAST,false,,,
1974,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1975,New Orleans,New Orleans Saints,NFL,NFC,NFC West,LAST,LAST,LAST,false,,,
1976,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1977,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,LAST,false,,,
1978,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1979,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1980,New Orleans,New Orleans Saints,NFL,NFC,NFC West,LAST,LAST,LAST,false,,,
1981,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,LAST,LAST,false,,,
1982,New Orleans,New Orleans Saints,NFL,NFC,,,,,false,,,
1983,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1984,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1985,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1986,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,LAST,false,,,
1987,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,true,0,,
1988,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,LAST,false,,,
1989,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1990,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,true,0,,
1991,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,FIRST,true,0,,
1992,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,true,0,,
1993,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1994,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1995,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,LAST,false,,,
1996,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,LAST,LAST,false,,,
1997,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1998,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
1999,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,LAST,LAST,false,,,
2000,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,FIRST,true,1,,
2001,New Orleans,New Orleans Saints,NFL,NFC,NFC West,,,,false,,,
2002,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2003,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2004,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2005,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,LAST,LAST,false,,,
2006,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,FIRST,true,1,,
2007,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2008,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,LAST,false,,,
2009,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,FIRST,true,3,true,true
2010,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,true,0,,
2011,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,FIRST,true,1,,
2012,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,LAST,false,,,
2013,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,true,1,,
2014,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2015,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2016,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2017,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,FIRST,true,1,,
2018,New Orleans,New Orleans Saints,NFL,NFC,NFC South,FIRST,FIRST,FIRST,true,1,,
2019,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,FIRST,FIRST,true,0,,
2020,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,FIRST,true,1,,
2021,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,,false,,,
2022,New Orleans,New Orleans Saints,NFL,NFC,NFC South,,,LAST,false,,,
