season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,New York,New York Giants,NFL,East,,,FIRST,,true,0,true,
1934,New York,New York Giants,NFL,East,,,FIRST,,true,1,true,true
1935,New York,New York Giants,NFL,East,,FIRST,FIRST,,true,0,true,
1936,New York,New York Giants,NFL,East,,,,,false,,,
1937,New York,New York Giants,NFL,East,,,,,false,,,
1938,New York,New York Giants,NFL,East,,FIRST,FIRST,,true,1,true,true
1939,New York,New York Giants,NFL,East,,FIRST,FIRST,,true,0,true,
1940,New York,New York Giants,NFL,East,,,,,false,,,
1941,New York,New York Giants,NFL,East,,,FIRST,,true,0,true,
1942,New York,New York Giants,NFL,East,,,,,false,,,
1943,New York,New York Giants,NFL,East,,,FIRST_TIED,,true,0,,
1944,New York,New York Giants,NFL,East,,FIRST,FIRST,,true,0,true,
1945,New York,New York Giants,NFL,East,,,,,false,,,
1946,New York,New York Giants,NFL,East,,,FIRST,,true,0,true,
1947,New York,New York Giants,NFL,East,,LAST,LAST,,false,,,
1948,New York,New York Giants,NFL,East,,,,,false,,,
1949,New York,New York Giants,NFL,East,,,,,false,,,
1950,New York,New York Giants,NFL,American,,FIRST_TIED,FIRST_TIED,,true,0,,
1951,New York,New York Giants,NFL,American,,,,,false,,,
1952,New York,New York Giants,NFL,American,,,,,false,,,
1953,New York,New York Giants,NFL,East,,,,,false,,,
1954,New York,New York Giants,NFL,East,,,,,false,,,
1955,New York,New York Giants,NFL,East,,,,,false,,,
1956,New York,New York Giants,NFL,East,,,FIRST,,true,1,true,true
1957,New York,New York Giants,NFL,East,,,,,false,,,
1958,New York,New York Giants,NFL,East,,FIRST_TIED,FIRST_TIED,,true,1,true,
1959,New York,New York Giants,NFL,East,,FIRST,FIRST,,true,0,true,
1960,New York,New York Giants,NFL,East,,,,,false,,,
1961,New York,New York Giants,NFL,East,,,FIRST,,true,0,true,
1962,New York,New York Giants,NFL,East,,,FIRST,,true,0,true,
1963,New York,New York Giants,NFL,East,,,FIRST,,true,0,true,
1964,New York,New York Giants,NFL,East,,LAST,LAST,,false,,,
