season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1933,Pittsburgh,Pittsburgh Pirates,NFL,East,,,LAST,,false,,,
1934,Pittsburgh,Pittsburgh Pirates,NFL,East,,,LAST,,false,,,
1935,Pittsburgh,Pittsburgh Pirates,NFL,East,,,,,false,,,
1936,Pittsburgh,Pittsburgh Pirates,NFL,East,,,,,false,,,
1937,Pittsburgh,Pittsburgh Pirates,NFL,East,,,,,false,,,
1938,Pittsburgh,Pittsburgh Pirates,NFL,East,,LAST,LAST,,false,,,
1939,Pittsburgh,Pittsburgh Pirates,NFL,East,,,LAST,,false,,,
1940,Pittsburgh,Pittsburgh Steelers,NFL,East,,,,,false,,,
1941,Pittsburgh,Pittsburgh Steelers,NFL,East,,LAST,LAST,,false,,,
1942,Pittsburgh,Pittsburgh Steelers,NFL,East,,,,,false,,,
1943,Pittsburgh,Steagles,NFL,East,,,,,false,,,
1944,Pittsburgh,Card-Pitt,NFL,East,,LAST,LAST,,false,,,
1945,Pittsburgh,Pittsburgh Steelers,NFL,East,,,LAST,,false,,,
1946,Pittsburgh,Pittsburgh Steelers,NFL,East,,,,,false,,,
1947,Pittsburgh,Pittsburgh Steelers,NFL,East,,,FIRST,,true,0,,
1948,Pittsburgh,Pittsburgh Steelers,NFL,East,,,,,false,,,
1949,Pittsburgh,Pittsburgh Steelers,NFL,East,,,,,false,,,
1950,Pittsburgh,Pittsburgh Steelers,NFL,American,,,,,false,,,
1951,Pittsburgh,Pittsburgh Steelers,NFL,American,,,,,false,,,
1952,Pittsburgh,Pittsburgh Steelers,NFL,American,,,,,false,,,
1953,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1954,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1955,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,LAST,,false,,,
1956,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1957,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1958,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1959,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1960,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1961,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1962,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1963,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1964,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1965,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,LAST,LAST,,false,,,
1966,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,,,,,false,,,
1967,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,Century,,,LAST,false,,,
1968,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,Century,,,LAST,false,,,
1969,Pittsburgh,Pittsburgh Steelers,NFL,Eastern,Century,LAST,LAST,LAST,false,,,
1970,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,,false,,,
1971,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,,false,,,
1972,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,FIRST,true,1,,
1973,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,,true,0,,
1974,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,FIRST,true,3,true,true
1975,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,FIRST,FIRST,FIRST,true,3,true,true
1976,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,FIRST,true,1,,
1977,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,FIRST,true,0,,
1978,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,FIRST,FIRST,FIRST,true,3,true,true
1979,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,FIRST,FIRST,FIRST,true,3,true,true
1980,Pittsburgh,Pittsburgh Steelers,NFL,AFC,AFC Central,,,,false,,,
