season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1976,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,LAST,LAST,false,,,
1977,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1978,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1979,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1980,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,LAST_TIED,LAST,false,,,
1981,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,LAST,false,,,
1982,Seattle,Seattle Seahawks,NFL,AFC,,,,,false,,,
1983,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,true,2,,
1984,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,true,1,,
1985,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1986,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1987,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,true,0,,
1988,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,FIRST,true,0,,
1989,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1990,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1991,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1992,Seattle,Seattle Seahawks,NFL,AFC,AFC West,LAST_TIED,LAST_TIED,LAST,false,,,
1993,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,LAST,false,,,
1994,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,LAST,false,,,
1995,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1996,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,LAST_TIED,false,,,
1997,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1998,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
1999,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,FIRST_TIED,true,0,,
2000,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
2001,Seattle,Seattle Seahawks,NFL,AFC,AFC West,,,,false,,,
2002,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,false,,,
2003,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,true,0,,
2004,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,FIRST,true,0,,
2005,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,FIRST,FIRST,true,2,true,
2006,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,FIRST,true,1,,
2007,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,FIRST,true,1,,
2008,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,false,,,
2009,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,false,,,
2010,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,FIRST_TIED,true,1,,
2011,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,false,,,
2012,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,true,1,,
2013,Seattle,Seattle Seahawks,NFL,NFC,NFC West,FIRST_TIED,FIRST,FIRST,true,3,true,true
2014,Seattle,Seattle Seahawks,NFL,NFC,NFC West,FIRST_TIED,FIRST_TIED,FIRST,true,2,true,
2015,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,true,1,,
2016,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,FIRST,true,1,,
2017,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,false,,,
2018,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,true,0,,
2019,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,true,1,,
2020,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,FIRST,true,0,,
2021,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,LAST,false,,,
2022,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,true,0,,
2023,Seattle,Seattle Seahawks,NFL,NFC,NFC West,,,,false,,,
