season,metro,team_name,league,conference,division,league_position,conference_position,division_position
1976,Tampa Bay,Tampa Bay Buccaneers,NFL,AFC,AFC West,LAST,LAST,LAST
1977,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST,LAST,LAST
1978,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1979,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,FIRST
1980,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1981,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,FIRST
1982,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,,,,
1983,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST,LAST,LAST
1984,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
1985,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST,LAST,LAST
1986,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,LAST,LAST,LAST
1987,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
1988,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
1989,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1990,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1991,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,LAST,LAST
1992,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1993,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1994,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1995,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,LAST
1996,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
1997,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
1998,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
1999,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,FIRST
2000,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
2001,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC Central,,,
2002,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,FIRST,FIRST,FIRST
2003,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,
2004,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2005,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST
2006,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2007,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST
2008,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,
2009,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2010,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,
2011,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2012,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2013,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2014,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,LAST,LAST,LAST
2015,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2016,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,
2017,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2018,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,LAST
2019,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,
2020,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,
2021,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,FIRST,FIRST,FIRST
2022,Tampa Bay,Tampa Bay Buccaneers,NFL,NFC,NFC South,,,FIRST
