season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1966,Houston,Houston Oilers,NFL,AFL East,,,LAST_TIED,,false,,,
1967,Houston,Houston Oilers,NFL,AFL East,,,FIRST,,true,0,,
1968,Houston,Houston Oilers,NFL,AFL East,,,,,false,,,
1969,Houston,Houston Oilers,NFL,AFL East,,,,,true,0,,
1970,Houston,Houston Oilers,NFL,AFC,AFC Central,,,LAST,false,,,
1971,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,false,,,
1972,Houston,Houston Oilers,NFL,AFC,AFC Central,LAST,LAST,LAST,false,,,
1973,Houston,Houston Oilers,NFL,AFC,AFC Central,LAST,LAST,LAST,false,,,
1974,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,false,,,
1975,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,false,,,
1976,Houston,Houston Oilers,NFL,AFC,AFC Central,,,LAST,false,,,
1977,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,false,,,
1978,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,true,2,,
1979,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,true,2,,
1980,Houston,Houston Oilers,NFL,AFC,AFC Central,,FIRST_TIED,FIRST_TIED,true,0,,
1981,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,false,,,
1982,Houston,Houston Oilers,NFL,AFC,,,,,false,,,
1983,Houston,Houston Oilers,NFL,AFC,AFC Central,LAST_TIED,LAST,LAST,false,,,
1984,Houston,Houston Oilers,NFL,AFC,AFC Central,,,LAST,false,,,
1985,Houston,Houston Oilers,NFL,AFC,AFC Central,,,LAST,false,,,
1986,Houston,Houston Oilers,NFL,AFC,AFC Central,,,LAST,false,,,
1987,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,true,1,,
1988,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,true,1,,
1989,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,true,0,,
1990,Houston,Houston Oilers,NFL,AFC,AFC Central,,,FIRST_TIED,true,0,,
1991,Houston,Houston Oilers,NFL,AFC,AFC Central,,,FIRST,true,1,,
1992,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,true,0,,
1993,Houston,Houston Oilers,NFL,AFC,AFC Central,FIRST_TIED,FIRST_TIED,FIRST,true,0,,
1994,Houston,Houston Oilers,NFL,AFC,AFC Central,LAST,LAST,LAST,false,,,
1995,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,false,,,
1996,Houston,Houston Oilers,NFL,AFC,AFC Central,,,,false,,,
1997,Memphis,Tennessee Oilers,NFL,AFC,AFC Central,,,,false,,,
1998,Nashville,Tennessee Oilers,NFL,AFC,AFC Central,,,,false,,,
1999,Nashville,Tennessee Titans,NFL,AFC,AFC Central,,,,true,3,true,
2000,Nashville,Tennessee Titans,NFL,AFC,AFC Central,FIRST,FIRST,FIRST,true,0,,
2001,Nashville,Tennessee Titans,NFL,AFC,AFC Central,,,,false,,,
2002,Nashville,Tennessee Titans,NFL,AFC,AFC South,,FIRST_TIED,FIRST,true,1,,
2003,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,true,1,,
2004,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,LAST,false,,,
2005,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2006,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2007,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,true,0,,
2008,Nashville,Tennessee Titans,NFL,AFC,AFC South,FIRST,FIRST,FIRST,true,0,,
2009,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2010,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,LAST_TIED,false,,,
2011,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2012,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2013,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2014,Nashville,Tennessee Titans,NFL,AFC,AFC South,LAST_TIED,LAST,LAST,false,,,
2015,Nashville,Tennessee Titans,NFL,AFC,AFC South,LAST_TIED,LAST_TIED,LAST,false,,,
2016,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,FIRST_TIED,false,,,
2017,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,true,1,,
2018,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2019,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,true,2,,
2020,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,FIRST_TIED,true,0,,
2021,Nashville,Tennessee Titans,NFL,AFC,AFC South,,FIRST_TIED,FIRST,true,0,,
2022,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,,false,,,
2023,Nashville,Tennessee Titans,NFL,AFC,AFC South,,,LAST,false,,,
