name,year,league,number_of_rounds
1980 Stanley Cup Playoffs,1980,NHL,4
1981 Stanley Cup Playoffs,1981,NHL,4
1982 Stanley Cup Playoffs,1982,NHL,4
1983 Stanley Cup Playoffs,1983,NHL,4
1984 Stanley Cup Playoffs,1984,NHL,4
1985 Stanley Cup Playoffs,1985,NHL,4
1986 Stanley Cup Playoffs,1986,NHL,4
1987 Stanley Cup Playoffs,1987,NHL,4
1988 Stanley Cup Playoffs,1988,NHL,4
1989 Stanley Cup Playoffs,1989,NHL,4
1990 Stanley Cup Playoffs,1990,NHL,4
1991 Stanley Cup Playoffs,1991,NHL,4
1992 Stanley Cup Playoffs,1992,NHL,4
1993 Stanley Cup Playoffs,1993,NHL,4
1994 Stanley Cup Playoffs,1994,NHL,4
1995 Stanley Cup Playoffs,1995,NHL,4
1996 Stanley Cup Playoffs,1996,NHL,4
1997 Stanley Cup Playoffs,1997,NHL,4
1998 Stanley Cup Playoffs,1998,NHL,4
1999 Stanley Cup Playoffs,1999,NHL,4
2000 Stanley Cup Playoffs,2000,NHL,4
2001 Stanley Cup Playoffs,2001,NHL,4
2002 Stanley Cup Playoffs,2002,NHL,4
2003 Stanley Cup Playoffs,2003,NHL,4
2004 Stanley Cup Playoffs,2004,NHL,4
2006 Stanley Cup Playoffs,2006,NHL,4
2007 Stanley Cup Playoffs,2007,NHL,4
2008 Stanley Cup Playoffs,2008,NHL,4
2009 Stanley Cup Playoffs,2009,NHL,4
2010 Stanley Cup Playoffs,2010,NHL,4
2011 Stanley Cup Playoffs,2011,NHL,4
2012 Stanley Cup Playoffs,2012,NHL,4
2013 Stanley Cup Playoffs,2013,NHL,4
2014 Stanley Cup Playoffs,2014,NHL,4
2015 Stanley Cup Playoffs,2015,NHL,4
2016 Stanley Cup Playoffs,2016,NHL,4
2017 Stanley Cup Playoffs,2017,NHL,4
2018 Stanley Cup Playoffs,2018,NHL,4
2019 Stanley Cup Playoffs,2019,NHL,4
2020 Stanley Cup Playoffs,2020,NHL,5
2021 Stanley Cup Playoffs,2021,NHL,4
2022 Stanley Cup Playoffs,2022,NHL,4
2023 Stanley Cup Playoffs,2023,NHL,4
