name,start_year,end_year,league,total_major_divisions,total_minor_divisions
1979-80 NHL Season,1979,1980,NHL,2,4
1980-81 NHL Season,1980,1981,NHL,2,4
1981-82 NHL Season,1981,1982,NHL,2,4
1982-83 NHL Season,1982,1983,NHL,2,4
1983-84 NHL Season,1983,1984,NHL,2,4
1984-85 NHL Season,1984,1985,NHL,2,4
1985-86 NHL Season,1985,1986,NHL,2,4
1986-87 NHL Season,1986,1987,NHL,2,4
1987-88 NHL Season,1987,1988,NHL,2,4
1988-89 NHL Season,1988,1989,NHL,2,4
1989-90 NHL Season,1989,1990,NHL,2,4
1990-91 NHL Season,1990,1991,NHL,2,4
1991-92 NHL Season,1991,1992,NHL,2,4
1992-93 NHL Season,1992,1993,NHL,2,4
1993-94 NHL Season,1993,1994,NHL,2,4
1994-95 NHL Season,1994,1995,NHL,2,4
1995-96 NHL Season,1995,1996,NHL,2,4
1996-97 NHL Season,1996,1997,NHL,2,4
1997-98 NHL Season,1997,1998,NHL,2,4
1998-99 NHL Season,1998,1999,NHL,2,6
1999-00 NHL Season,1999,2000,NHL,2,6
2000-01 NHL Season,2000,2001,NHL,2,6
2001-02 NHL Season,2001,2002,NHL,2,6
2002-03 NHL Season,2002,2003,NHL,2,6
2003-04 NHL Season,2003,2004,NHL,2,6
2005-06 NHL Season,2005,2006,NHL,2,6
2006-07 NHL Season,2006,2007,NHL,2,6
2007-08 NHL Season,2007,2008,NHL,2,6
2008-09 NHL Season,2008,2009,NHL,2,6
2009-10 NHL Season,2009,2010,NHL,2,6
2010-11 NHL Season,2010,2011,NHL,2,6
2011-12 NHL Season,2011,2012,NHL,2,6
2012-13 NHL Season,2012,2013,NHL,2,6
2013-14 NHL Season,2013,2014,NHL,2,4
2014-15 NHL Season,2014,2015,NHL,2,4
2015-16 NHL Season,2015,2016,NHL,2,4
2016-17 NHL Season,2016,2017,NHL,2,4
2017-18 NHL Season,2017,2018,NHL,2,4
2018-19 NHL Season,2018,2019,NHL,2,4
2019-20 NHL Season,2019,2020,NHL,2,4
2020-21 NHL Season,2020,2021,NHL,2,4
2021-22 NHL Season,2021,2022,NHL,2,4
2022-23 NHL Season,2022,2023,NHL,2,4
