postseason,league,metro,rounds_won,appeared_in_championship,won_championship
1982,NHL,Winnipeg,0,false,false
1983,NHL,Winnipeg,0,false,false
1984,NHL,Winnipeg,0,false,false
1985,NHL,Winnipeg,1,false,false
1986,NHL,Winnipeg,0,false,false
1987,NHL,Winnipeg,1,false,false
1988,NHL,Winnipeg,0,false,false
1990,NHL,Winnipeg,0,false,false
1992,NHL,Winnipeg,0,false,false
1993,NHL,Winnipeg,0,false,false
1996,NHL,Winnipeg,0,false,false
1997,NHL,Phoenix,0,false,false
1998,NHL,Phoenix,0,false,false
1999,NHL,Phoenix,0,false,false
2000,NHL,Phoenix,0,false,false
2002,NHL,Phoenix,0,false,false
2010,NHL,Phoenix,0,false,false
2011,NHL,Phoenix,0,false,false
2012,NHL,Phoenix,2,false,false
2019,NHL,Phoenix,1,false,false
