postseason,league,metro,rounds_won,appeared_in_championship,won_championship
1996,NHL,Tampa Bay,0,false,false
2003,NHL,Tampa Bay,1,false,false
2004,NHL,Tampa Bay,4,true,true
2006,NHL,Tampa Bay,0,false,false
2007,NHL,Tampa Bay,0,false,false
2011,NHL,Tampa Bay,2,false,false
2014,NHL,Tampa Bay,0,false,false
2015,NHL,Tampa Bay,3,true,false
2016,NHL,Tampa Bay,2,false,false
2018,NHL,Tampa Bay,2,false,false
2019,NHL,Tampa Bay,0,false,false
2020,NHL,Tampa Bay,4,true,true
2021,NHL,Tampa Bay,4,true,true
2022,NHL,Tampa Bay,3,true,false
2023,NHL,Tampa Bay,0,false,false
