season,metro,team_name,league,conference,division,league_position,conference_position,division_position
1979,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1980,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,LAST,LAST,LAST
1981,Winnipeg,Winnipeg Jets,NHL,Campbell,Norris,,,
1982,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1983,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1984,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1985,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1986,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1987,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1988,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,LAST
1989,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1990,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,LAST
1991,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1992,Winnipeg,Winnipeg Jets,NHL,Campbell,Smythe,,,
1993,Winnipeg,Winnipeg Jets,NHL,Western,Central,,LAST,LAST
1994,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,LAST
1995,Winnipeg,Winnipeg Jets,NHL,Western,Central,,,
1996,Phoenix,Phoenix Coyotes,NHL,Western,Central,,,
1997,Phoenix,Phoenix Coyotes,NHL,Western,Central,,,
1998,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
1999,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2000,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2001,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2002,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2003,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,LAST
2005,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,LAST
2006,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,LAST,LAST
2007,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2008,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,LAST_TIED
2009,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2010,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2011,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,FIRST
2012,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2013,Phoenix,Phoenix Coyotes,NHL,Western,Pacific,,,
2014,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,LAST,LAST
2015,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,
2016,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,
2017,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,LAST,LAST
2018,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,
2019,Phoenix,Arizona Coyotes,NHL,Western,Pacific,,,
2020,Phoenix,Arizona Coyotes,NHL,,West,,,
2021,Phoenix,Arizona Coyotes,NHL,Western,Central,,LAST,LAST
2022,Phoenix,Arizona Coyotes,NHL,Western,Central,,,
