season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1979,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,LAST,LAST,false,,,
1980,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,,true,0,,
1981,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,,true,2,,
1982,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,,true,0,,
1983,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,,true,1,,
1984,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,,true,2,,
1985,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,FIRST,true,0,,
1986,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,,true,1,,
1987,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,LAST,LAST,false,,,
1988,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,LAST_TIED,LAST_TIED,LAST,false,,,
1989,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,LAST,LAST,LAST,false,,,
1990,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,LAST,LAST,LAST,false,,,
1991,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,LAST,LAST,false,,,
1992,Quebec,Quebec Nordiques,NHL,Prince of Wales,Adams,,,,true,0,,
1993,Quebec,Quebec Nordiques,NHL,Eastern,Northeast,,,,false,,,
1994,Quebec,Quebec Nordiques,NHL,Eastern,Northeast,,FIRST,FIRST,true,0,,
1995,Denver,Colorado Avalanche,NHL,Western,Pacific,,,FIRST,true,4,true,true
1996,Denver,Colorado Avalanche,NHL,Western,Pacific,FIRST,FIRST,FIRST,true,2,,
1997,Denver,Colorado Avalanche,NHL,Western,Pacific,,,FIRST,true,0,,
1998,Denver,Colorado Avalanche,NHL,Western,Northwest,,,FIRST,true,2,,
1999,Denver,Colorado Avalanche,NHL,Western,Northwest,,,FIRST,true,2,,
2000,Denver,Colorado Avalanche,NHL,Western,Northwest,FIRST,FIRST,FIRST,true,4,true,true
2001,Denver,Colorado Avalanche,NHL,Western,Northwest,,,FIRST,true,2,,
2002,Denver,Colorado Avalanche,NHL,Western,Northwest,,,FIRST,true,0,,
2003,Denver,Colorado Avalanche,NHL,Western,Northwest,,,,true,1,,
2005,Denver,Colorado Avalanche,NHL,Western,Northwest,,,,true,1,,
2006,Denver,Colorado Avalanche,NHL,Western,Northwest,,,,false,,,
2007,Denver,Colorado Avalanche,NHL,Western,Northwest,,,,true,1,,
2008,Denver,Colorado Avalanche,NHL,Western,Northwest,,LAST,LAST,false,,,
2009,Denver,Colorado Avalanche,NHL,Western,Northwest,,,,true,0,,
2010,Denver,Colorado Avalanche,NHL,Western,Northwest,,,,false,,,
2011,Denver,Colorado Avalanche,NHL,Western,Northwest,,,,false,,,
2012,Denver,Colorado Avalanche,NHL,Western,Northwest,,LAST,LAST,false,,,
2013,Denver,Colorado Avalanche,NHL,Western,Central,,,FIRST,true,0,,
2014,Denver,Colorado Avalanche,NHL,Western,Central,,,LAST,false,,,
2015,Denver,Colorado Avalanche,NHL,Western,Central,,,,false,,,
2016,Denver,Colorado Avalanche,NHL,Western,Central,LAST,LAST,LAST,false,,,
2017,Denver,Colorado Avalanche,NHL,Western,Central,,,,true,0,,
2018,Denver,Colorado Avalanche,NHL,Western,Central,,,,true,1,,
2019,Denver,Colorado Avalanche,NHL,Western,Central,,,,true,1,,
2020,Denver,Colorado Avalanche,NHL,West,,FIRST_TIED,FIRST_TIED,,true,1,,
2021,Denver,Colorado Avalanche,NHL,Western,Central,,FIRST,FIRST,true,4,true,true
2022,Denver,Colorado Avalanche,NHL,Western,Central,,,FIRST,true,0,,
