season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1967,Minneapolis,Minnesota North Stars,NHL,West,,,,,true,1,,
1968,Minneapolis,Minnesota North Stars,NHL,West,,LAST,LAST,,false,,,
1969,Minneapolis,Minnesota North Stars,NHL,West,,,,,true,0,,
1970,Minneapolis,Minnesota North Stars,NHL,West,,,,,true,1,,
1971,Minneapolis,Minnesota North Stars,NHL,West,,,,,true,0,,
1972,Minneapolis,Minnesota North Stars,NHL,West,,,,,true,0,,
1973,Minneapolis,Minnesota North Stars,NHL,West,,,,,false,,,
1974,Minneapolis,Minnesota North Stars,NHL,Campbell,Smythe,,,,false,,,
1975,Minneapolis,Minnesota North Stars,NHL,Campbell,Smythe,,,,false,,,
1976,Minneapolis,Minnesota North Stars,NHL,Campbell,Smythe,,,,true,0,,
1977,Minneapolis,Minnesota North Stars,NHL,Campbell,Smythe,LAST,LAST,LAST,false,,,
1978,Minneapolis,Minnesota North Stars,NHL,Prince of Wales,Adams,,,LAST,false,,,
1979,Minneapolis,Minnesota North Stars,NHL,Prince of Wales,Adams,,,,true,2,,
1980,Minneapolis,Minnesota North Stars,NHL,Prince of Wales,Adams,,,,true,3,true,
1981,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,FIRST,true,0,,
1982,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,true,1,,
1983,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,FIRST,true,2,,
1984,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,true,1,,
1985,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,true,0,,
1986,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,false,,,
1987,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,LAST,LAST,LAST,false,,,
1988,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,true,0,,
1989,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,true,0,,
1990,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,true,3,true,
1991,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,true,0,,
1992,Minneapolis,Minnesota North Stars,NHL,Campbell,Norris,,,,false,,,
1993,Dallas,Dallas Stars,NHL,Western,Central,,,,true,1,,
1994,Dallas,Dallas Stars,NHL,Western,Central,,,,true,0,,
1995,Dallas,Dallas Stars,NHL,Western,Central,,,LAST,false,,,
1996,Dallas,Dallas Stars,NHL,Western,Central,,,FIRST,true,0,,
1997,Dallas,Dallas Stars,NHL,Western,Central,FIRST,FIRST,FIRST,true,2,,
1998,Dallas,Dallas Stars,NHL,Western,Pacific,FIRST,FIRST,FIRST,true,4,true,true
1999,Dallas,Dallas Stars,NHL,Western,Pacific,,,FIRST,true,3,true,
2000,Dallas,Dallas Stars,NHL,Western,Pacific,,,FIRST,true,1,,
2001,Dallas,Dallas Stars,NHL,Western,Pacific,,,,false,,,
2002,Dallas,Dallas Stars,NHL,Western,Pacific,,FIRST,FIRST,true,1,,
2003,Dallas,Dallas Stars,NHL,Western,Pacific,,,,true,0,,
2005,Dallas,Dallas Stars,NHL,Western,Pacific,,,FIRST,true,0,,
2006,Dallas,Dallas Stars,NHL,Western,Pacific,,,,true,0,,
2007,Dallas,Dallas Stars,NHL,Western,Pacific,,,,true,2,,
2008,Dallas,Dallas Stars,NHL,Western,Pacific,,,,false,,,
2009,Dallas,Dallas Stars,NHL,Western,Pacific,,,LAST,false,,,
2010,Dallas,Dallas Stars,NHL,Western,Pacific,,,LAST,false,,,
2011,Dallas,Dallas Stars,NHL,Western,Pacific,,,,false,,,
2012,Dallas,Dallas Stars,NHL,Western,Pacific,,,LAST,false,,,
2013,Dallas,Dallas Stars,NHL,Western,Central,,,,true,0,,
2014,Dallas,Dallas Stars,NHL,Western,Central,,,,false,,,
2015,Dallas,Dallas Stars,NHL,Western,Central,,FIRST,FIRST,true,1,,
2016,Dallas,Dallas Stars,NHL,Western,Central,,,,false,,,
2017,Dallas,Dallas Stars,NHL,Western,Central,,,,false,,,
2018,Dallas,Dallas Stars,NHL,Western,Central,,,,true,1,,
2019,Dallas,Dallas Stars,NHL,Western,Central,,,,true,3,true,
2020,Dallas,Dallas Stars,NHL,,Central,,,,false,,,
2021,Dallas,Dallas Stars,NHL,Western,Central,,,,true,0,,
2022,Dallas,Dallas Stars,NHL,Western,Central,,,,true,2,,
