season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1998,Nashville,Nashville Predators,NHL,Western,Central,,,LAST,false,,,
1999,Nashville,Nashville Predators,NHL,Western,Central,,LAST,LAST,false,,,
2000,Nashville,Nashville Predators,NHL,Western,Central,,,,false,,,
2001,Nashville,Nashville Predators,NHL,Western,Central,,,,false,,,
2002,Nashville,Nashville Predators,NHL,Western,Central,,,,false,,,
2003,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2005,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2006,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2007,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2008,Nashville,Nashville Predators,NHL,Western,Central,,,LAST,false,,,
2009,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2010,Nashville,Nashville Predators,NHL,Western,Central,,,,true,1,,
2011,Nashville,Nashville Predators,NHL,Western,Central,,,,true,1,,
2012,Nashville,Nashville Predators,NHL,Western,Central,,,LAST,false,,,
2013,Nashville,Nashville Predators,NHL,Western,Central,,,,false,,,
2014,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2015,Nashville,Nashville Predators,NHL,Western,Central,,,,true,1,,
2016,Nashville,Nashville Predators,NHL,Western,Central,,,,true,3,true,
2017,Nashville,Nashville Predators,NHL,Western,Central,FIRST,FIRST,FIRST,true,1,,
2018,Nashville,Nashville Predators,NHL,Western,Central,,,FIRST,true,0,,
2019,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2020,Nashville,Nashville Predators,NHL,Central,,,,,true,0,,
2021,Nashville,Nashville Predators,NHL,Western,Central,,,,true,0,,
2022,Nashville,Nashville Predators,NHL,Western,Central,,,,false,,,
