season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1992,Ottawa,Ottawa Senators,NHL,Prince of Wales,Adams,LAST_TIED,LAST,LAST,false,,,
1993,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,LAST,LAST,LAST,false,,,
1994,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,LAST,LAST,LAST,false,,,
1995,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,LAST,LAST,LAST,false,,,
1996,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,0,,
1997,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,1,,
1998,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,FIRST,true,0,,
1999,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,0,,
2000,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,FIRST,true,0,,
2001,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,1,,
2002,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,FIRST,FIRST,FIRST,true,2,,
2003,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,0,,
2005,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,FIRST,FIRST,true,1,,
2006,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,3,true,
2007,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,0,,
2008,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,false,,,
2009,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,0,,
2010,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,LAST,false,,,
2011,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,0,,
2012,Ottawa,Ottawa Senators,NHL,Eastern,Northeast,,,,true,1,,
2013,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,false,,,
2014,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,true,0,,
2015,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,false,,,
2016,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,true,2,,
2017,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,false,,,
2018,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,LAST,LAST,LAST,false,,,
2019,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,false,,,
2020,Ottawa,Ottawa Senators,NHL,North,,,,,false,,,
2021,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,false,,,
2022,Ottawa,Ottawa Senators,NHL,Eastern,Atlantic,,,,false,,,
