season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1967,Philadelphia,Philadelphia Flyers,NHL,West,,,FIRST,,true,0,,
1968,Philadelphia,Philadelphia Flyers,NHL,West,,,,,true,0,,
1969,Philadelphia,Philadelphia Flyers,NHL,West,,,,,false,,,
1970,Philadelphia,Philadelphia Flyers,NHL,West,,,,,true,0,,
1971,Philadelphia,Philadelphia Flyers,NHL,West,,,,,false,,,
1972,Philadelphia,Philadelphia Flyers,NHL,West,,,,,true,1,,
1973,Philadelphia,Philadelphia Flyers,NHL,West,,,FIRST,,true,3,true,true
1974,Philadelphia,Philadelphia Flyers,NHL,Campbell,Patrick,FIRST,FIRST,FIRST,true,3,true,true
1975,Philadelphia,Philadelphia Flyers,NHL,Campbell,Patrick,,FIRST,FIRST,true,2,true,
1976,Philadelphia,Philadelphia Flyers,NHL,Campbell,Patrick,,FIRST,FIRST,true,1,,
1977,Philadelphia,Philadelphia Flyers,NHL,Campbell,Patrick,,,,true,2,,
1978,Philadelphia,Philadelphia Flyers,NHL,Campbell,Patrick,,,,true,1,,
1979,Philadelphia,Philadelphia Flyers,NHL,Campbell,Patrick,FIRST,FIRST,FIRST,true,3,true,
1980,Philadelphia,Philadelphia Flyers,NHL,Campbell,Patrick,,,,true,1,,
1981,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,,true,0,,
1982,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,FIRST,true,0,,
1983,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,,true,0,,
1984,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,FIRST,FIRST,FIRST,true,3,true,
1985,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,FIRST,FIRST,true,0,,
1986,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,FIRST,FIRST,true,3,true,
1987,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,,true,0,,
1988,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,,true,2,,
1989,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,LAST,false,,,
1990,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,,false,,,
1991,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,LAST,false,,,
1992,Philadelphia,Philadelphia Flyers,NHL,Prince of Wales,Patrick,,,,false,,,
1993,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,false,,,
1994,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,FIRST,true,2,,
1995,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,FIRST,FIRST,true,1,,
1996,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,3,true,
1997,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,0,,
1998,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,0,,
1999,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,FIRST,FIRST,true,2,,
2000,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,0,,
2001,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,FIRST,true,0,,
2002,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,1,,
2003,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,FIRST,true,2,,
2005,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,FIRST,true,0,,
2006,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,LAST,LAST,LAST,false,,,
2007,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,2,,
2008,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,0,,
2009,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,3,true,
2010,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,FIRST,true,1,,
2011,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,true,1,,
2012,Philadelphia,Philadelphia Flyers,NHL,Eastern,Atlantic,,,,false,,,
2013,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,true,0,,
2014,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,false,,,
2015,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,true,0,,
2016,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,false,,,
2017,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,true,0,,
2018,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,false,,,
2019,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,true,1,,
2020,Philadelphia,Philadelphia Flyers,NHL,,East,,,,false,,,
2021,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,LAST,false,,,
2022,Philadelphia,Philadelphia Flyers,NHL,Eastern,Metropolitan,,,,false,,,
