season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1991,San Francisco Bay,San Jose Sharks,NHL,Campbell,Smythe,LAST,LAST,LAST,false,,,
1992,San Francisco Bay,San Jose Sharks,NHL,Campbell,Smythe,LAST_TIED,LAST,LAST,false,,,
1993,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,1,,
1994,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,1,,
1995,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,LAST,LAST,false,,,
1996,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,LAST,LAST,false,,,
1997,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,0,,
1998,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,0,,
1999,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,1,,
2000,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,0,,
2001,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,FIRST,true,1,,
2002,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,LAST,false,,,
2003,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,FIRST,true,2,,
2005,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,1,,
2006,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,1,,
2007,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,FIRST,true,1,,
2008,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,FIRST,FIRST,FIRST,true,0,,
2009,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,FIRST,FIRST,true,2,,
2010,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,FIRST,true,2,,
2011,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,0,,
2012,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,1,,
2013,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,0,,
2014,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,false,,,
2015,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,3,true,
2016,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,0,,
2017,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,1,,
2018,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,true,2,,
2019,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,LAST,LAST,false,,,
2020,San Francisco Bay,San Jose Sharks,NHL,,West,,,,false,,,
2021,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,false,,,
2022,San Francisco Bay,San Jose Sharks,NHL,Western,Pacific,,,,false,,,
